,target,predicted
0,-7.22,-167.8642902175847
1,-17.87,-167.8642902175847
2,-9.84,-167.8642902175847
3,-3657.26,-1076.6287164291473
4,-2199.18,-1076.6287164291473
5,-2196.81,-1076.6287164291473
6,-16.93,-451.1657712417584
7,-15.64,-451.1657712417584
8,-13.12,-451.1657712417584
9,-6.64,-616.9428791551002
10,-4.16,-616.9428791551002
11,-5.69,-616.9428791551002
12,-93.9,-147.55629301456295
13,-82.29,-147.55629301456295
14,-105.08,-147.55629301456295
15,-38.69,-115.71217467388857
16,-33.77,-115.71217467388857
17,-28.09,-115.71217467388857
18,-38.07,-729.5183662769912
19,-35.25,-729.5183662769912
20,-39.92,-729.5183662769912
21,-40.73,-329.6545850712997
22,-33.1,-329.6545850712997
23,-22.8,-329.6545850712997
24,-3860.77,-794.5157191448941
25,-3462.55,-794.5157191448941
26,-3840.88,-794.5157191448941
27,-2.54,-253.67775766558808
28,-2.85,-253.67775766558808
29,-2.5,-253.67775766558808
30,-1.78,-391.5468383566341
31,-1.64,-391.5468383566341
32,-0.86,-391.5468383566341
33,-18.49,-383.04338559568214
34,-21.45,-383.04338559568214
35,-15.72,-383.04338559568214
36,-6.39,-646.0167487131907
37,-4.79,-646.0167487131907
38,-9.54,-646.0167487131907
39,-2228.76,-625.6185251890988
40,-2718.25,-625.6185251890988
41,-2289.87,-625.6185251890988
42,-4.93,-367.3802717641074
43,-5.02,-367.3802717641074
44,-5.3,-367.3802717641074
45,-3293.85,-601.6111988800377
46,-2717.18,-601.6111988800377
47,-1941.4,-601.6111988800377
48,-42.78,-588.0462091711203
49,-30.01,-588.0462091711203
50,-41.12,-588.0462091711203
51,-4001.81,-1055.3566723939894
52,-3971.85,-1055.3566723939894
53,-4007.87,-1055.3566723939894
54,-4.36,-469.210609155797
55,-2.98,-469.210609155797
56,-2.16,-469.210609155797
57,-1542.53,-834.8533056984983
58,-1776.15,-834.8533056984983
59,-1842.39,-834.8533056984983
60,-2420.28,-783.3928639346558
61,-3023.27,-783.3928639346558
62,-2757.22,-783.3928639346558
63,-4.09,-244.70299054013833
64,-5.29,-244.70299054013833
65,-5.01,-244.70299054013833
66,-16.39,-258.23958762677523
67,-9.11,-258.23958762677523
68,-7.18,-258.23958762677523
69,-11.88,-337.92643123269727
70,-8.82,-337.92643123269727
71,-8.79,-337.92643123269727
72,-6.87,-229.18201761992734
73,-7.34,-229.18201761992734
74,-11.78,-229.18201761992734
75,-1.64,-223.0708409148615
76,-2.11,-223.0708409148615
77,-2.02,-223.0708409148615
78,-9.31,-226.0818234413204
79,-9.42,-226.0818234413204
80,-9.44,-226.0818234413204
81,-3.46,-236.12004156053496
82,-4.99,-236.12004156053496
83,-3.3,-236.12004156053496
84,-0.52,-235.19861815205584
85,-0.73,-235.19861815205584
86,-0.51,-235.19861815205584
87,-10.54,-8.267807344202048
88,-12.27,-8.267807344202048
89,-7.84,-8.267807344202048
90,-1.94,-8.695599035878416
91,-2.15,-8.695599035878416
92,-3.19,-8.695599035878416
93,-5.6,-8.262396655034195
94,-4.87,-8.262396655034195
95,-5.14,-8.262396655034195
96,-2.95,7.229002908260355
97,-3.16,7.229002908260355
98,-5.97,7.229002908260355
99,-2.43,1.9090726757260938
100,-1.98,1.9090726757260938
101,-2.32,1.9090726757260938
102,-1.27,-3.979539139505988
103,-1.55,-3.979539139505988
104,-1.22,-3.979539139505988
105,-1.16,-117.17964795237519
106,-1.58,-117.17964795237519
107,-1.65,-117.17964795237519
108,-1.22,-117.16274754093986
109,-1.33,-117.16274754093986
110,-0.94,-117.16274754093986
111,-0.71,-119.65968210633386
112,-0.61,-119.65968210633386
113,-0.81,-119.65968210633386
114,-0.74,-120.38321817797711
115,-1.97,-120.38321817797711
116,-1.32,-120.38321817797711
117,-3.54,-122.17155482548534
118,-2.7,-122.17155482548534
119,-2.8,-122.17155482548534
120,-3.04,-206.49522243678925
121,-3.3,-206.49522243678925
122,-2.5,-206.49522243678925
123,-2.86,-207.22829286295425
124,-2.76,-207.22829286295425
125,-2.86,-207.22829286295425
126,-15.8,-84.05231024429052
