RA_SO,RA_dm,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,pre_mm_cyr,pre_mm_cdi,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,ppd_pk_cav,Temp_water,pH,DO_mgL,DOSAT,RA_ms_av,RA_ms_di
6,1.9499400000000002,52,1557,217,1621,22,126,123,238,263,37,68,2,85,1,0,0,0.27699999999999997,22.15,7.851666666669999,NaN,113.997166667,0.6823159895854858,1.6118035628718772
4,0.586841,29,5692,589,1638,70,70,126,236,259,34,0,6,64,4,0,0,0.0,19.4,8.4,NaN,109.66,0.46430540523983577,1.0786996385615977
6,2.0158099999999997,14,1554,258,1527,10,6,132,237,221,31,35,13,49,19,0,0,60.092,15.2365079365,7.99222222222,NaN,89.87947619049999,0.6965204770204494,1.6162773271580988
5,0.99695,12,0,202,1461,8,13,131,231,218,38,2,1,46,2,0,0,1.246,15.447826087000001,8.13869565217,NaN,96.9866086957,0.4310645073015399,1.3473642311615295
3,0.192157,12,0,41,1364,8,10,146,224,229,42,75,1,41,0,0,0,0.0,15.3381578947,8.07422047244,NaN,97.04973015870002,0.33336700676836045,0.8031114253965049
3,0.192157,12,0,41,1364,8,10,146,224,229,42,75,1,41,0,0,0,0.0,14.4463709677,8.03843137255,NaN,94.6978181818,0.33336700676836045,0.8031114253965049
6,1.77698,23,3841,328,1361,46,144,156,217,235,45,24,1,89,0,0,0,1.7530000000000001,15.0160142349,8.12727272727,NaN,27.0,0.7472521431691997,1.406289330011891
6,1.52747,7,5257,24,1147,4,12,174,214,217,42,0,72,23,49,0,0,35.849000000000004,15.8428571429,8.32142857143,NaN,84.92028571430001,0.8511945966578465,1.2095628114803771
6,1.50937,10,5233,682,1254,68,17,170,210,227,41,0,0,47,1,0,0,884.074,16.387562189100002,8.20713930348,NaN,94.88267381969999,0.8508834801866101,1.2097905999596565
6,1.47755,13,4950,233,1079,18,3,172,214,229,47,0,9,23,2,0,0,0.0,16.6102941176,8.104411764710001,NaN,102.102040816,0.9531935255971848,1.126158763263565
7,2.49205,29,2643,420,446,43,6,209,198,341,51,0,0,100,0,0,0,0.0,20.8404255319,7.9,NaN,102.19424460399999,0.8255730659025787,1.6354214807283478
2,0.14391900000000002,14,0,913,2656,169,222,58,186,566,75,100,0,1,0,0,0,0.031,5.80571428571,7.66742857143,NaN,102.340909091,0.1630046649897562,0.764084367139482
5,0.729711,26,425,631,1531,33,18,131,217,364,61,27,0,72,0,0,0,0.033,14.4393939394,7.992307692310001,NaN,101.68627451,0.2891346251394948,1.2514483428821623
5,0.9381370000000001,11,6066,312,1313,26,56,139,225,351,60,27,0,94,0,0,0,2.825,14.5444444444,8.135555555560002,NaN,107.1875,0.4004213330854903,1.293585513577149
6,0.962901,24,5941,92,891,13,11,179,214,310,54,0,0,86,1,0,0,0.17800000000000002,17.9715909091,8.16771022727,NaN,122.67241379299999,0.7932808613581381,1.1406180789805447
2,0.15504,13,0,470,1652,59,97,150,171,364,58,100,0,79,0,0,0,1.329,20.25,7.41,NaN,125.333333333,0.22392714903418093,0.8423926082714425
6,1.2893299999999999,27,6565,318,431,35,22,206,199,397,62,0,0,98,0,0,0,0.03,20.1708074534,7.965838509319999,NaN,102.34375,0.4440801267217272,1.4697829955608284
5,1.0396,26,0,387,407,55,18,205,195,433,72,0,2,95,0,0,0,0.004,19.6,7.846666666669999,NaN,121.14285714299999,0.5475065165707084,1.3655867778064217
7,2.69559,17,3787,67,128,7,30,234,179,428,65,0,5,60,1,0,0,4002.784,21.9579207921,7.97079207921,NaN,94.14285714290001,0.8519456051786188,1.697229535518466
2,0.285905,75,0,10,15,1,3,230,140,672,111,15,41,11,49,0,0,504.083,24.3888888889,7.9037037037,NaN,96.6111111111,0.4283863583980417,0.8631309558817686
7,1.91527,48,1000,14,12,0,4,232,133,691,124,0,100,0,14,0,0,2091.156,24.10625,8.02,NaN,95.8343949045,0.7366692498739519,1.643468375940692
2,0.281756,19,0,596,1895,71,84,117,191,409,78,100,0,32,0,0,0,16.447,15.0808823529,8.30735294118,NaN,105.47826087,0.43925118371271715,1.0320514918178454
1,0.115174,87,0,539,3186,152,511,-6,212,673,26,100,0,24,0,0,8,0.105,4.34210526316,7.327894736839999,NaN,96.67422222219999,0.2541088778112755,0.7027208472805644
1,0.16632,157,0,745,3383,189,243,-13,212,746,35,100,0,27,0,0,16,0.8,1.36666666667,7.65,NaN,99.6383333333,0.25830826930133716,0.805966144987434
3,0.44000900000000004,148,0,462,2716,58,114,21,221,549,20,100,2,8,23,0,0,82.19,3.9333333333300002,7.86,NaN,102.973,0.33059209938492007,1.1397385999335243
3,0.60217,142,0,214,2605,27,91,26,226,488,19,58,2,9,22,0,0,25.084,6.2,8.2,NaN,102.16,0.3297717007639434,1.2529851611941012
1,0.21716999999999997,178,0,734,3356,193,325,-11,216,680,28,96,0,6,0,0,16,0.027000000000000003,9.9,7.92,NaN,99.904,0.42470789638624096,1.4528003592243
2,0.764204,151,0,264,2457,42,81,30,248,403,20,96,4,56,8,0,0,0.5489999999999999,12.1,7.9,NaN,99.351,0.33922534353460854,1.2849653764918676
2,0.279864,129,0,415,3195,105,201,0,218,556,28,91,0,1,1,0,6,141.195,7.966666666669999,8.156666666669999,NaN,100.75399999999999,0.2761422398056384,0.9671616427808054
1,0.153376,129,0,700,3367,162,351,-9,215,628,28,85,0,2,0,0,13,48.357,4.19032258065,7.553387096769999,NaN,100.722178571,0.27001949049776863,0.9057926544879693
3,0.5270239999999999,157,0,414,2888,95,55,13,222,462,25,89,0,0,1,0,0,21.996,7.413333333330001,8.036,NaN,101.9226,0.3318661105147766,1.2499009444496472
3,0.524656,162,0,731,2873,145,117,15,223,445,26,100,0,1,1,0,0,337.38599999999997,11.5,7.93,NaN,99.319,0.31111226981602663,1.1474075425896473
4,0.879292,168,2872,87,2753,31,316,19,225,416,24,53,0,1,1,0,0,61.108000000000004,5.97,7.626,NaN,92.4947,0.36378285123786,1.3226317771414056
4,1.0273700000000001,182,1467,356,2765,133,45,17,233,472,18,84,4,4,8,0,3,0.769,9.8,8.16,NaN,101.5605,0.3480121538922412,1.4867120297855954
3,0.621247,167,877,375,2827,178,267,15,229,448,19,100,0,4,0,0,0,0.053,11.05,7.97,NaN,99.4025,0.3313665023593877,1.2511635059773853
2,0.25869000000000003,163,0,705,3289,202,406,-7,218,590,21,100,0,14,0,0,17,0.95,13.7,7.345,NaN,101.454,0.38078455409132705,1.3645418326693226
1,0.170776,179,0,1057,3394,214,657,-12,216,642,22,100,0,2,0,0,24,1.329,9.8,7.79,NaN,100.31700000000001,0.281773923388801,0.9416547354275316
2,0.514463,182,0,608,2778,171,147,17,232,444,18,100,3,8,1,0,0,119.634,4.68137254902,8.46441176471,NaN,104.846525253,0.33363129080446485,1.2092614100482608
5,2.03565,157,802,420,2077,132,11,55,257,392,12,87,1,67,0,0,0,15.302999999999999,9.14375,8.14468085106,NaN,103.392272727,0.48833849524097295,1.6788600997129477
3,0.43493999999999994,173,0,482,2985,164,99,4,235,514,21,100,0,2,0,0,3,45.84,4.7,7.47,NaN,95.7805,0.30176705464314413,1.1988902496120577
2,0.325364,167,0,648,3034,152,451,2,233,515,21,100,0,4,0,0,2,10.565999999999999,14.5,7.6,NaN,99.0,0.30395944373296213,1.1685433859594119
4,1.15959,181,413,297,2185,96,89,48,254,390,13,71,2,23,12,0,0,109.603,8.525,8.43875,NaN,102.807,0.41592588969142075,1.4972185019381088
4,1.47417,158,236,725,2041,154,53,60,255,428,10,100,1,38,1,0,0,333.914,9.15,8.335,NaN,108.3295,0.46586152725826907,1.5603411578362796
3,0.355138,112,0,714,1808,98,143,85,265,354,13,86,0,76,2,0,0,0.069,10.2081081081,8.47527027027,NaN,103.858347222,0.3582593523058655,1.1272850645836197
5,2.44286,122,488,796,1666,91,3,98,271,305,14,100,1,89,2,0,0,1.04,10.7974025974,8.3272972973,NaN,101.264797101,0.5676779703977035,1.7586546339795694
1,0.188531,199,0,468,3161,145,310,-5,234,589,26,100,1,18,1,0,7,11.454,8.1,7.6,NaN,101.546,0.2798385479779268,1.0748938618591393
3,0.7759119999999999,222,0,406,2873,135,90,6,255,515,24,79,4,25,12,0,2,7.79,6.4795,8.2968,NaN,102.817414141,0.34546270996810996,1.3704343590407113
3,0.8576469999999999,222,0,275,2664,91,75,15,267,442,24,73,9,39,9,0,0,1.689,7.7,8.475,NaN,103.94183333299999,0.3513052280499121,1.4030795984712319
3,0.522623,93,0,379,2684,97,49,26,254,376,28,100,2,11,5,0,0,2.917,7.0,8.1,NaN,103.969,0.253777990425267,1.1785147692075244
5,1.2542,204,0,265,2450,65,30,26,279,338,24,80,3,54,12,0,0,73.157,10.2714285714,8.22142857143,NaN,107.15714285700001,0.34881973018764567,1.574185658416031
5,2.1783,129,633,873,2473,170,124,42,242,448,24,82,9,58,1,0,0,0.075,7.249285714289999,8.02589285714,NaN,104.522464286,0.4395273310638964,1.7639237782212311
3,0.558038,109,0,304,1584,25,76,103,266,236,16,19,20,51,29,0,0,82.17200000000001,10.05,8.52,NaN,101.27799999999999,0.5170535382406849,1.0823004652712802
2,0.653717,133,0,386,2180,81,66,68,239,427,26,100,8,32,20,0,0,15.634,9.36666666667,7.9966666666699995,NaN,102.50745614,0.35648834814674385,1.1856304342169337
3,0.47763599999999995,100,0,218,1618,14,78,103,264,236,17,4,47,28,72,0,0,21.631999999999998,10.3727272727,8.28674418605,NaN,108.38756818200001,0.4972100609494378,1.0469568203279251
5,2.4348799999999997,91,409,328,1451,26,27,115,284,232,13,23,9,74,13,0,0,19.618,11.3477366255,8.2182231405,NaN,99.4877394366,0.5461852934643622,1.7449738562483865
2,0.235871,81,0,169,1385,8,33,106,284,231,12,0,33,40,51,0,0,49.419,12.020754717,8.02113207547,NaN,98.09200000000001,0.21889486338489134,0.9603129490433941
6,3.136,73,403,758,1459,70,7,109,284,245,13,0,1,93,1,0,0,0.0,11.7789361702,8.20836298932,NaN,100.08260377399999,0.6593718376140012,1.8580705642783086
6,3.153,72,401,440,1369,57,15,112,286,234,13,0,1,93,1,0,0,0.05,11.1465517241,7.8350877193,NaN,NaN,0.662572819754804,1.8601984920565915
5,1.75975,76,252,657,1366,115,11,120,280,247,16,0,0,92,0,0,0,0.006,12.2021276596,8.09377777778,NaN,99.6324786325,0.6126439182847206,1.568499660157181
6,3.25602,72,367,845,1378,89,10,119,282,245,16,0,0,75,1,0,0,0.022000000000000002,12.1622222222,8.212444444439999,NaN,99.1512605042,0.7509867817147053,1.8541886588948044
5,1.58786,169,92,519,2064,43,9,27,282,223,21,0,5,53,2,0,0,1.068,7.904371584700001,8.11305555556,NaN,105.386363636,0.801943148763958,1.352735063717723
6,1.9296900000000001,55,203,620,1967,66,7,53,268,214,21,2,3,74,0,0,0,356.62,8.901639344260001,8.4,NaN,107.352941176,0.7198954763290071,1.5134858973225578
6,2.4056599999999997,50,1608,706,1916,99,237,65,261,272,22,61,1,62,0,0,0,0.0,7.637305699480001,8.1274611399,NaN,97.57777777780001,0.6279989708625459,1.6871293497137712
5,1.22622,77,287,451,1898,47,9,53,274,354,15,27,6,90,0,0,0,1.306,9.539877300610001,8.163125,NaN,104.60344827600001,0.4476697016136302,1.4190630728086777
5,1.71908,69,0,618,1926,91,28,57,271,312,17,33,2,85,0,0,0,0.042,9.63445378151,8.03448275862,NaN,96.4736842105,0.29970811790300617,1.7179404408613237
5,1.72012,27,33,180,1443,13,4,85,328,188,14,12,2,55,4,0,0,0.092,11.097222222200001,8.1847826087,NaN,95.4333333333,0.3957102516479873,1.6649689882481
3,0.408254,22,0,312,1275,20,30,114,301,177,11,0,0,46,1,0,0,20.421,13.4358974359,8.25341880342,NaN,97.9212598425,0.2177793298799061,1.1228488834565313
2,0.418419,117,0,561,3014,177,222,14,213,743,53,95,1,7,0,0,2,1.6340000000000001,4.21428571429,7.529437229439999,NaN,98.4468085106,0.2565664542833502,1.1189313501189568
4,1.32839,27,189,552,1701,25,41,110,263,241,24,28,4,68,6,0,0,379.588,11.0239726027,8.23253424658,NaN,109.88372093,0.3979700032732858,1.5593429927903784
6,1.92925,21,755,401,1528,14,15,114,263,210,21,0,8,33,13,0,0,52.45399999999999,10.8502994012,8.13473053892,NaN,108.01960784299999,0.7237497403188043,1.6441160452097943
6,2.08252,15,562,179,1288,56,41,133,280,171,19,0,2,69,0,0,0,5.7139999999999995,12.722222222200001,8.17210743802,NaN,99.8613138686,0.8618121955188023,1.6239029105770428
7,4.12507,34,2127,1153,1202,198,26,150,267,119,11,0,0,45,0,0,0,0.17300000000000001,9.04929577465,8.023205741629999,NaN,83.0980392157,0.8652903396384389,1.956215740678081
1,0.0717195,22,0,77,1288,7,12,143,258,154,22,35,1,61,0,0,0,1.771,14.71875,8.23064516129,NaN,98.85714285709999,0.07996850471199035,0.2952683250904259
4,0.729374,32,0,525,643,30,72,181,257,164,17,0,0,98,1,0,0,52.196999999999996,18.4424778761,7.86658986175,NaN,102.747826087,0.3309491742615427,1.3024830994939656
5,1.6943700000000002,14,89,554,527,39,25,195,258,137,14,0,0,34,0,0,0,0.306,19.015625,8.1,NaN,99.5172413793,0.4121060739299368,1.6562825478199588
5,1.2335399999999999,11,77,582,448,29,18,203,259,123,13,0,1,14,1,0,0,2.677,18.543956044,8.138461538460001,NaN,105.941176471,0.48095879049910945,1.4649698848418105
5,0.358647,10,556,724,545,54,75,197,248,105,11,7,0,58,0,0,0,30.83,21.225,7.73,NaN,100.59652631600001,0.4318967610633796,1.1031579921136925
7,3.98541,12,4007,840,468,118,222,205,248,108,12,1,0,97,0,0,0,0.025,12.6224489796,7.865608465610001,NaN,78.6179775281,1.0045050466839762,1.7894612858297367
3,0.645528,114,224,320,605,70,45,174,159,350,65,10,8,10,21,0,0,407.28,20.38,8.28333333333,NaN,NaN,0.3285567680545033,1.3578824073029332
5,1.27463,17,0,732,286,90,29,217,228,154,20,3,1,86,0,0,0,0.016,19.8515625,7.957480314960001,NaN,90.22222222219999,0.3579790933939435,1.5097691521427477
7,3.81642,8,5051,266,76,15,9,231,211,85,14,30,0,39,0,0,0,13.52,20.5371179039,7.99820359281,NaN,96.2881355932,0.9351406734817994,1.808565529476934
2,0.147446,5,0,979,1737,88,169,116,195,434,68,57,0,54,0,0,0,0.184,11.290849673199999,7.62105263158,NaN,103.804347826,0.2797447329312003,0.8042661071772007
5,0.5521739999999999,15,0,626,1351,101,121,146,209,334,58,22,1,68,2,0,0,0.18899999999999997,15.172985782000001,8.18317535545,NaN,106.94174757299999,0.4608567945196083,1.0944569342109778
6,1.0802200000000002,18,0,79,783,14,0,185,225,329,46,80,1,92,0,0,0,0.079,18.9405405405,8.187709497210001,NaN,104.076086957,0.41158332216114757,1.4101622201367474
4,0.6084579999999999,10,0,140,1239,32,39,173,183,338,88,100,1,64,0,0,0,0.251,19.714569536400003,8.33326666667,NaN,104.88145138899999,0.44125137125842334,1.1491635323616987
4,0.856568,16,0,433,758,38,39,198,212,380,52,93,1,52,2,0,0,2.821,22.7894736842,8.32105263158,NaN,96.7647058824,0.45148807622454845,1.2939555174270563
4,0.812084,20,0,374,700,31,30,200,216,381,51,52,1,53,1,0,0,4.546,23.2375,8.09210526316,NaN,NaN,0.45735365220349916,1.2983722221227372
6,1.32499,25,2656,580,836,111,7,195,209,436,57,37,0,65,0,0,0,4.0280000000000005,18.0723404255,8.14265957447,NaN,99.9084444444,0.44017747474494273,1.5182836309349732
4,0.442025,11,0,431,1028,28,38,175,183,406,98,66,0,71,2,0,0,19.516,20.908,7.822,NaN,67.57415999999999,0.33123644353689,1.0854580614198939
5,0.706993,15,0,31,654,6,20,206,204,309,50,0,1,57,7,0,0,251.05,25.0,7.65666666667,NaN,36.7415833333,0.4507088691064952,1.2091988130563798
6,0.86462,8,0,385,432,63,12,207,218,218,31,10,8,21,1,0,0,0.266,15.066666666700002,8.513333333330001,NaN,NaN,0.6919365710028734,1.2271630777963034
5,0.999816,35,65,641,781,98,34,191,219,411,51,5,0,100,1,0,0,1.984,17.1231372549,8.22311023622,NaN,101.941929825,0.3612992463989316,1.4228989792998188
5,1.2348700000000001,31,5780,706,506,71,21,208,211,323,38,17,0,52,0,0,0,0.539,17.5063694268,7.98662420382,NaN,101.985915493,0.4021287741854906,1.5185556530819695
5,1.4923,60,0,359,963,44,16,169,212,397,50,100,2,23,4,0,0,17.915,17.1941176471,8.34764705882,NaN,114.5501875,0.37271682826843905,1.5995157459739215
3,0.38009299999999996,42,0,877,1623,134,220,127,202,588,69,79,0,30,0,0,0,0.0,15.427999999999999,8.4212,NaN,102.423252525,0.31897155836937874,1.1917937317255876
2,0.188038,34,0,869,1219,152,391,155,202,544,66,85,0,16,0,0,0,0.0,16.669117647100002,7.85641025641,NaN,100.96,0.2900406604171113,1.0397684052688894
5,1.5680399999999999,37,0,530,797,99,24,185,207,434,48,34,1,41,0,0,0,0.0,18.8593908629,8.35157360406,NaN,103.63595858,0.3903313202529151,1.6312766024064875
5,1.61991,36,549,697,617,107,96,200,209,386,43,47,0,55,0,0,0,0.105,15.8773006135,8.19754601227,NaN,110.5,0.3924564139866507,1.6355581481791068
5,0.784131,7,0,67,264,6,39,216,221,171,26,0,55,17,25,0,0,4.974,22.285106383000002,8.14170212766,NaN,108.29272093,0.3268517318372907,1.3083851592439244
7,2.52819,6,1374,371,265,41,8,218,221,161,26,14,13,27,5,0,0,0.368,20.0696202532,8.1093220339,NaN,90.0074074074,0.5026008099013289,1.786836251639765
7,2.1613900000000004,7,1932,439,92,41,5,231,207,88,15,0,15,13,17,0,0,0.49,20.5487804878,7.9114754098399995,NaN,109.495652174,0.5393241987124316,1.6513323234757464
7,2.10393,7,2065,91,48,3,6,233,205,80,13,0,59,12,69,0,0,188.378,22.7150537634,7.880459770110001,NaN,102.666666667,0.5351396734716226,1.6477362950254155
8,3.1846400000000004,6,8129,65,38,6,7,225,203,69,11,0,34,18,69,0,0,297.375,20.9224299065,7.978632478630001,NaN,96.6554054054,0.9814439609490918,1.5333559841901174
5,0.6983060000000001,23,0,27,542,1,12,208,200,256,52,0,1,58,0,0,0,3.0,23.3541666667,8.1,NaN,79.4,0.6478840301433008,1.2351491317953975
4,0.66715,27,0,32,1202,8,8,168,187,317,82,67,2,73,0,0,0,24.932,23.75,7.716666666669999,NaN,NaN,0.5655168460972652,1.1308426392059838
3,0.427284,121,0,222,2442,36,135,32,233,429,11,99,8,52,17,0,0,1.994,16.1,8.5,NaN,104.0,0.5965936309300081,1.1832378930921903
4,0.67497,120,191,372,2098,34,55,41,245,299,16,4,8,92,11,0,0,507.95300000000003,16.6,8.3,NaN,112.0,0.5051223144330282,1.151055269111708
4,0.912011,113,123,319,2001,25,25,38,254,277,18,0,7,93,4,0,0,2.657,23.9,8.8,NaN,177.0,0.4252496192249111,1.2597732272804194
4,0.932484,111,477,417,1999,42,17,37,256,274,17,4,10,89,5,0,0,0.006,21.8,8.5,NaN,76.0,0.42209310091498037,1.273024777933614
4,1.47337,87,207,34,1892,4,3,35,272,274,16,41,15,51,17,0,0,0.13699999999999998,24.0,8.4,NaN,77.1,0.32459139147526955,1.5339701104034158
4,1.37691,78,214,659,2077,125,18,27,264,340,13,13,7,35,9,0,0,0.657,7.656315789470001,8.292982456139999,NaN,112.64126315799999,0.31565574377633177,1.4855774302664098
4,1.36581,82,225,472,1984,72,16,32,267,337,13,49,14,33,5,0,0,0.204,8.676884422110001,8.14011627907,NaN,91.6153846154,0.31986712515161697,1.4113901578246268
4,1.3014700000000001,92,211,713,1965,101,7,38,260,353,15,24,27,31,9,0,0,0.16699999999999998,22.5,8.3,NaN,105.0,0.40090276196820096,1.366537660519903
3,0.8206530000000001,90,0,13,1806,0,4,51,261,325,17,82,19,32,3,0,0,0.0,21.5,8.5,NaN,90.0,0.3033844703294113,1.316466636547565
4,0.863137,95,0,7,1807,0,3,52,260,347,19,47,41,21,12,0,0,0.0,9.38888888889,8.24285714286,NaN,NaN,0.32736974262397983,1.344946641556811
5,1.31723,112,161,349,1879,50,4,48,255,393,19,55,17,25,22,0,0,1.148,10.452,8.412,NaN,102.87935999999999,0.5285377611746289,1.3323932836369186
5,1.39893,135,142,449,1853,50,14,49,250,411,22,73,15,28,12,0,0,4.996,23.5,8.6,NaN,124.0,0.5162279269487404,1.4697739934006266
5,1.40705,137,160,646,1804,66,38,51,250,403,23,59,20,24,14,0,0,5.797999999999999,20.1,8.3,NaN,90.0,0.5091984157472744,1.5034899838474518
5,1.54567,124,150,154,1371,12,8,81,270,415,29,0,46,17,45,0,0,15.294,21.2,8.3,NaN,111.0,0.525242488489379,1.4787898394578889
3,0.5345310000000001,94,0,232,1391,22,22,82,271,435,31,0,49,8,47,0,0,50.458,11.7818181818,8.240909090910002,NaN,112.565580645,0.26684099347670315,1.2020640046156281
4,0.93274,136,0,37,1354,3,22,89,272,464,33,26,38,3,51,0,0,299.058,20.2,7.8,NaN,106.0,0.34803989038901884,1.374016191393786
5,1.75777,130,205,726,1476,92,67,79,269,446,29,0,24,18,35,0,0,0.889,23.4,8.3,NaN,116.0,0.5183651675649988,1.5464922714305807
5,1.8173400000000002,153,182,19,1289,2,5,93,274,437,33,0,40,11,29,0,0,31.13,11.5661016949,8.32768361582,NaN,99.433175,0.5505014322040765,1.5620735382450581
3,0.511789,169,204,604,2458,192,107,34,226,608,31,99,3,4,1,0,0,1.033,8.55,8.41,NaN,119.1575,0.3637828380096422,1.1420587267420848
4,0.772777,191,611,378,1962,94,86,59,239,497,23,61,2,22,6,0,0,7.402,4.1,8.4,NaN,115.552,0.3786034805358237,1.2809431556637358
4,0.932701,184,460,337,1813,67,44,64,243,435,22,30,6,26,23,0,0,45.659,9.39166666667,8.479166666669999,NaN,125.365125,0.38868127367666633,1.3296687826354052
5,1.6337700000000002,187,413,8,1287,1,7,103,272,450,35,0,35,7,41,0,0,87.95,11.897740113,7.9954545454499995,NaN,87.855225,0.5037932474604808,1.5506769310704291
2,0.360173,218,0,263,1424,30,154,98,263,464,36,34,1,0,1,0,0,1664.781,9.506896551719999,8.14827586207,NaN,109.965111111,0.43414405835929054,1.130818848415401
2,0.360173,218,0,263,1424,30,154,98,263,464,36,34,1,0,1,0,0,1664.781,11.4557142857,8.07732142857,NaN,104.373656863,0.43414405835929054,1.130818848415401
5,1.79893,217,1555,7,1294,2,2,107,268,415,33,34,0,1,2,0,0,921.4110000000001,12.658974359,7.869179104480001,NaN,84.6343466667,0.6509661594910962,1.4679641852952319
1,0.196017,220,0,541,1815,143,424,74,246,618,43,60,12,8,1,0,0,754.7280000000001,7.500791139239999,8.25833333333,NaN,101.19580405399999,0.34980449975788325,0.9843672079963576
5,1.45655,126,1085,191,1454,8,8,106,278,239,15,0,5,51,7,0,0,1.7009999999999998,11.684210526300001,8.304736842110001,NaN,99.64285714290001,0.476561099248586,1.5732628645009863
3,0.478391,57,0,426,1758,20,42,87,243,299,21,9,4,48,5,0,0,1.633,10.851063829800001,8.17021276596,NaN,111.526315789,0.30304409931879095,1.1490066413608242
1,0.1401,91,0,914,2718,159,437,35,212,457,16,56,0,53,0,0,0,0.024,6.944444444439999,8.059259259260001,NaN,98.8,0.15277914819259086,0.7241095044544671
2,0.142664,23,0,776,1955,96,337,79,222,217,8,5,1,65,2,0,0,0.09300000000000001,6.17796610169,7.757627118639999,NaN,97.7058823529,0.21373915273799854,0.6839652887615952
2,0.215529,73,0,436,1922,66,525,84,215,178,13,21,0,51,2,0,0,0.381,7.583333333330001,7.745205479450001,NaN,99.3529411765,0.4606128069552534,0.9116295137656057
3,0.131525,2,0,520,9,7,84,227,213,61,10,0,48,31,75,0,0,0.445,21.489795918400002,7.925773195880001,NaN,93.2666666667,0.28959885043046796,0.7998444440460544
3,0.25764699999999996,11,0,90,-2,3,15,224,205,85,14,0,27,33,67,0,0,2677.1059999999998,22.701776649699998,7.6801020408200005,NaN,56.7878787879,0.3351144804193017,0.9379118689784116
4,1.1012600000000001,90,237,377,884,37,35,162,199,156,25,0,2,33,1,0,0,50.206,19.225,7.86347826087,NaN,95.75,0.34388451671811815,1.4869776946823772
4,1.4243700000000001,186,265,302,1384,77,9,130,219,186,26,6,0,10,2,0,0,0.03,13.1116504854,8.1112244898,NaN,104.95,0.6728601285135914,1.4835151382956704
5,1.20383,52,124,289,1342,31,11,105,232,129,7,0,3,75,11,0,0,0.0,13.765895953800001,8.18545454545,NaN,104.209876543,0.527123479159307,1.418944841391937
3,0.8407049999999999,236,0,361,1562,56,104,94,204,302,39,22,13,54,13,0,0,81.669,8.70298507463,7.84820895522,NaN,104.288835821,0.6892268073955188,1.2501473481860306
2,0.442604,291,810,381,1848,101,227,79,190,543,79,57,12,18,25,0,0,27.046,14.94,7.77,NaN,81.3054,0.6270040112678982,1.213765529058975
4,1.0610600000000001,238,109,435,1495,52,33,97,208,239,31,23,2,37,3,0,0,205.373,14.003571428599999,8.01785714286,NaN,105.637285714,0.6920697770262723,1.4061711609347256
4,1.16857,183,104,340,1390,47,0,103,216,189,20,46,3,36,2,0,0,10.014,18.5,7.7,NaN,NaN,0.6888584224476738,1.438954391737501
4,1.23716,75,101,729,1402,78,16,104,228,150,10,8,0,33,3,0,0,0.012,12.1514285714,8.02325153374,NaN,97.4851538462,0.6501214100309803,1.4298919869379552
4,1.19506,61,98,555,1376,49,13,106,230,145,8,6,2,34,7,0,0,11.498,9.40625,7.91625,NaN,100.5675,0.6420682278040546,1.4222610287010424
4,1.2258,41,872,407,1239,7,9,115,239,130,8,0,2,54,4,0,0,9.566,20.5,7.8,NaN,99.06299999999999,0.6019215313801417,1.43713012347483
4,0.538557,26,0,93,1198,0,3,114,237,123,11,0,8,67,14,0,0,0.495,21.6,8.2425,NaN,63.59625,0.4442978044577132,1.0907238818878975
4,1.14162,38,1241,128,1201,3,12,112,236,125,10,0,8,48,13,0,0,2.38,12.5625,8.1,NaN,99.7218333333,0.5028107704204426,1.4866238607039524
5,1.86181,72,75,932,1632,101,20,83,247,279,22,0,2,78,0,0,0,0.0,11.696808510599999,8.4,NaN,111.02985074600001,0.4137207301637528,1.708601969780872
6,1.58046,44,610,558,1340,28,35,100,238,198,14,0,1,72,1,0,0,0.8029999999999999,12.0465116279,8.533057851239999,NaN,107.236842105,0.3677970685853587,1.6744313510550832
3,0.47008500000000003,405,0,259,1964,55,19,64,178,740,118,86,0,2,0,0,0,285.972,15.0,7.3,NaN,90.60700000000001,0.537631235725625,1.1437204553636238
1,0.257731,493,0,429,2055,76,158,54,181,881,138,100,0,2,0,0,0,0.066,7.95205479452,7.892,NaN,100.829268293,0.560950600156825,1.2259484890524155
5,1.43498,371,1018,590,1984,181,77,61,190,592,87,100,1,4,0,0,0,1.527,8.383243243239999,7.936619718310001,NaN,104.259029412,0.8376074557570572,1.408662355377961
5,1.37801,283,959,411,1747,101,69,75,201,403,58,61,1,23,2,0,0,78.911,19.1,8.2,NaN,110.06299999999999,0.8569597484495921,1.3806423132104622
5,1.57682,244,934,163,1430,41,37,95,209,251,35,0,0,11,0,0,0,767.507,9.911764705880001,7.523529411760001,NaN,103.30305882399999,0.8750122721943837,1.3744280194892071
5,1.5955,186,874,11,1342,1,13,105,216,202,25,24,0,9,9,0,0,87.42200000000001,10.266666666699999,8.083333333330001,NaN,110.46204166700001,0.9108614400864594,1.3459157022560455
5,1.58714,127,736,672,1519,113,31,97,220,194,19,41,0,16,1,0,0,0.375,10.4,8.085,NaN,98.3655,0.9309669534500378,1.3399440425315505
5,1.65431,106,728,584,1403,78,28,103,224,176,16,31,0,15,1,0,0,0.213,12.652000000000001,7.954960000000001,NaN,107.11324390200001,0.9441183189965958,1.3404214984631688
