RA_SO,RA_dm,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,pre_mm_cyr,pre_mm_cdi,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,ppd_pk_cav,Temp_water,pH,DO_mgL,DOSAT,RA_ms_av,RA_ms_di
2,0.365672,810,0,181,39,25,17,94,255,1114,27,57,0,0,0,0,0,1150.74,13.1046511628,7.0947368421100006,NaN,78.1131550388,0.5435133477517028,0.8441202104651536
3,0.924932,827,0,143,61,20,11,94,255,1159,34,100,0,0,0,0,0,209.567,12.322463768099999,6.791911764709999,NaN,94.8817204301,0.6888494038198948,1.1275716873011068
3,1.1143399999999999,825,0,88,22,19,8,96,254,1125,33,0,0,0,0,0,0,5234.251,13.3754471545,7.13734693878,NaN,82.3481016949,0.6897858845165044,1.2259190452063278
3,0.5017010000000001,830,0,92,36,14,15,96,252,1160,34,74,0,0,0,0,0,1513.32,14.897058823499998,7.276625,NaN,93.7399117647,0.5964761953387394,0.9101423151800638
3,0.47713500000000003,831,0,78,38,20,47,97,252,1163,34,35,0,0,0,0,0,942.487,20.6,7.05285714286,NaN,95.08057142860001,0.5857960903047456,0.8885671032712433
3,0.425913,836,0,83,39,17,31,97,250,1168,37,69,0,0,0,0,0,1214.732,15.65,6.965,NaN,82.8615,0.5483233957706244,0.951577548138065
1,0.234279,828,0,71,44,12,25,97,247,1184,36,83,3,0,0,0,0,497.89,18.0875,6.78125,NaN,68.46600000000001,0.6508884681561182,1.1323084628453863
2,0.538431,799,0,14,5,5,17,97,247,1186,33,99,0,0,1,0,0,334.88,13.885714285699999,7.11605882353,NaN,84.3368571429,0.6366702794263469,0.9274380362799337
2,0.32252800000000004,763,0,69,159,22,20,84,262,1172,25,80,8,0,0,0,0,2409.355,15.55,7.075,NaN,99.6575,0.5267075327236611,0.7357786595743673
2,0.358527,773,0,197,132,21,8,86,260,1171,25,100,5,0,0,0,0,692.534,15.9,7.195,NaN,91.4115,0.5937762412207196,0.8351515534802665
4,1.0751,805,0,218,96,28,8,91,256,1196,30,84,10,0,0,0,0,235.98,11.4597156398,6.67630331754,NaN,84.5396039604,0.7625581830888769,1.1026351971715822
2,0.48882700000000007,806,0,110,75,24,14,92,255,1192,31,0,12,0,0,0,0,270.85900000000004,18.9571428571,6.63571428571,NaN,91.12857142860001,0.6077878175556318,0.8600531218625694
4,1.27966,801,0,256,78,29,21,94,253,1203,34,100,7,0,1,0,0,1038.497,14.9,6.974076923080001,NaN,96.2539285714,0.8056949804121506,1.139289094387942
4,0.9713879999999999,773,0,141,25,19,13,100,234,1182,38,67,11,2,1,0,0,632.013,11.7976744186,6.691627906980001,NaN,97.2242990654,0.8703765447368703,0.9537842692278733
3,0.675426,799,0,398,163,43,26,87,253,1208,30,100,13,0,0,0,0,172.08700000000002,12.59375,7.086666666669999,NaN,98.5416666667,0.734847598513591,0.9540204910497901
5,1.21933,797,0,216,83,27,18,92,251,1214,29,100,31,1,0,0,0,83.92,12.558781362000001,7.1429749103899995,NaN,103.076086957,0.835719133220751,1.0651978346301352
3,0.797729,777,0,358,177,42,18,83,262,1204,26,100,14,2,0,0,0,96.60799999999999,14.387719298199999,7.326491228069999,NaN,95.55438596489999,0.739525960764899,0.991397982548425
3,0.77051,794,0,200,138,37,31,86,260,1203,27,100,5,1,0,0,0,167.755,15.281034482799999,7.70051724138,NaN,100.48965517200001,0.7053829470245808,0.9696115965378245
4,1.50118,800,0,228,61,28,14,96,248,1224,32,100,8,2,1,0,0,180.77200000000002,13.6139534884,7.2643521594700005,NaN,100.494949495,0.9342990446932423,1.0902243286978093
2,0.475121,793,0,318,122,32,61,92,248,1242,29,100,13,5,1,0,0,48.878,7.34,7.34,NaN,104.0,0.6894491544466562,0.8393408992975973
2,0.294389,795,0,261,106,37,32,92,250,1232,29,100,16,4,1,0,0,39.576,6.4,5.8,NaN,92.0,0.7970134707665368,0.9869752306383542
4,1.5855,732,286,230,364,58,31,44,293,1025,62,100,0,0,0,0,0,4.292,14.9,6.53,NaN,95.9,0.5937274226116597,1.3298618537498883
5,2.16972,805,111,265,338,58,28,51,290,987,57,100,2,0,0,0,0,43.008,20.1,6.135,NaN,88.55,0.6956544966115146,1.447867696440564
3,0.622412,715,0,230,437,62,50,44,289,1052,60,100,1,1,0,0,0,0.28300000000000003,16.3,6.89,NaN,100.0,0.52663779265227,1.064905957537026
3,0.535265,668,0,296,280,77,70,54,293,975,55,94,5,1,0,0,0,96.679,7.84848484848,7.082121212120001,NaN,67.9054545455,0.5187876667673764,1.0371777950927856
4,1.31208,664,0,295,261,87,13,55,293,955,53,100,3,1,0,0,0,27.639,20.5,6.69,NaN,111.0,0.6394047184560157,1.2524717148662412
3,0.8518959999999999,958,0,215,475,55,76,46,283,1126,48,96,3,0,0,0,0,7.311,7.96764705882,7.16323529412,NaN,65.74735294119999,0.5725238189757841,1.186110559745931
4,1.42269,660,0,271,215,56,66,59,289,923,49,100,6,5,0,0,0,26.213,17.0,6.9,NaN,96.8,0.6216429294091108,1.3004607492144036
5,2.5525700000000002,645,88,660,269,140,29,57,287,938,50,100,3,6,0,0,0,6.105,10.1022727273,6.92272727273,NaN,100.485714286,0.6973099034602451,1.5162598980366633
3,0.7170979999999999,630,0,287,242,62,102,59,287,926,48,100,15,7,0,0,0,25.415,17.5,7.29,NaN,100.0,0.5492045625871079,1.079764712110697
4,1.4762600000000001,567,0,307,288,87,15,59,280,1003,34,100,10,4,0,0,0,22.896,11.762162162200001,6.7324324324300004,NaN,68.5653783784,0.6094712400761927,1.4224413608998512
5,3.02578,557,68,212,143,49,13,68,284,926,32,100,2,2,0,0,0,860.814,18.9,6.03,NaN,86.6,0.7463583221006473,1.6486744257252566
1,0.146984,568,0,310,230,59,0,66,281,1007,29,85,7,1,0,0,0,104.56,16.5,7.04,NaN,97.9,0.08552505088409036,0.18895069381368798
5,3.26574,606,69,274,128,90,0,72,280,1022,28,100,5,1,0,0,0,439.577,10.5338983051,7.237288135589999,NaN,97.30357142860001,0.7988110810732247,1.6842388302665623
3,0.659844,597,215,305,199,67,60,69,277,1036,28,100,0,1,0,0,0,40.757,22.1,6.79,NaN,103.0,0.5057977407614163,1.0380109539629063
5,3.2216400000000003,615,71,238,140,43,5,72,278,1036,28,100,7,1,0,0,0,70.077,10.746153846199999,6.77538461538,NaN,96.9565217391,0.8020372251391292,1.6811113177584802
