Sample_ID,Sample_Longitude,Sample_Latitude,Respiration_Rate_mg_DO_per_L_per_H,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
300043,0.00215425132404,41.1354301927,-236.69345736144228,19.34816807045149,212.0281373661097,3.0100328475636084,0.18856555044356732,0.21200096026767715,0.03997607776743939
300086,0.0929537798368,41.6807228018,-212.47793720075623,18.33207735927829,211.9378316572245,3.570319257501288,0.17866281941728576,0.2514627412339087,0.04492704232724949
300022,-0.122749631011,41.9274349592,-71.67555044057696,16.392608808907394,211.77888716966416,3.6237739698297355,0.15976092889013047,0.25522763381760133,0.04077540385713006
300023,-0.131028213696,41.9189335585,-133.1037676815501,16.29465942772905,211.77132797695995,3.6393573662207688,0.15880632280493173,0.2563251949295357,0.0407060616490169
300153,0.144292716085,41.1228657667,-238.15972262503809,19.41446697662205,212.0341976079468,2.8889923433361893,0.18921169377302036,0.203475902759329,0.03850002020308703
300243,0.15197278372,40.8773167223,-35.13748266515934,17.162246121199388,211.8398501679608,2.4688936755580815,0.16726174668878735,0.17388774691969455,0.02908476827756591
300040,0.155988967052,42.0066463438,-117.02152582223717,16.170364824004924,211.761800440497,3.07386093954125,0.15759495848955765,0.21649646496034736,0.034118751408561916
300156,0.164458586753,41.8933299794,-113.45528714982692,16.157170240702005,211.76079329622488,4.898648672710741,0.15746636523699084,0.34501890019880027,0.05432887215236917
300088,0.168800847112,41.9388674072,-107.6784849626987,16.1469466516058,211.7600134903407,4.141967661587046,0.15736672703360047,0.29172476385594087,0.0459077712826594
300012,-0.173455555206,40.9438135929,-186.49202760936055,17.4269090518688,211.86145611309664,3.143686473339422,0.1698411284174329,0.22141437814139373,0.0376052678313785
300145,0.20188731385,41.6397877024,-171.3665191541809,17.000365122236214,211.8267967976404,4.450844205207004,0.16568406865928628,0.31347938487431115,0.051938539926786195
300087,-0.206099109907,41.8023187669,-135.95547853091728,16.32765385358808,211.7738692748047,4.663116009695148,0.15912788358789698,0.32842999460791084,0.05226236994874127
300152,-0.211163696326,40.9177701687,-35.25303934534377,17.15904688670092,211.839591005363,2.103127684477661,0.1672305672297293,0.14812631996215395,0.02477124850892338
300101,0.234624198559,42.1529567829,-76.41606103434117,16.330178015883714,211.77406390134252,0.5407685158423018,0.15915248385242597,0.038087107499138975,0.006061657761242328
300064,0.243970624332,41.210952793,-33.42480985965776,17.210200370772736,211.8437405826795,2.0126131802936853,0.16772910460267257,0.14175125271971914,0.023775810694985647
300046,-0.269155186124,40.8132822771,-25.205286643058862,17.45414459894572,211.86369814326463,1.8713735774444749,0.17010656367246535,0.13180354352574988,0.022420647869019532
300021,0.276215703,41.369104296,-27.450709900271,17.385265301036913,211.85803472336588,2.599068233736384,0.16943527207126324,0.1830561290383676,0.031016165027928085
300146,-0.280984065103,42.2299979563,-32.04138504179144,17.249668151314918,211.84695060016784,1.1869897628461406,0.16811375413308927,0.08360140313916173,0.014054545732518312
300085,0.29385672446,41.5812781006,-683.3748244475819,49.86211350738898,216.95116913877925,4.502789026590788,0.48595178859127175,0.3171379336583249,0.15411374609140305
300135,-0.326989446909,42.7815326509,-180.4842407167532,17.248141404341652,211.8468262900429,5.142236073594396,0.16809887459088382,0.36217511260965213,0.06088122883450914
300160,0.343430427561,41.4757787139,-540.7025526018722,39.010678565555246,214.71705211604532,4.735454522695924,0.3801946546104891,0.333524900543211,0.12680438436602384
300013,0.343444636563,41.52627697,-436.4249940820122,31.449227835350605,213.4727930175161,4.870823599339884,0.30650141843943907,0.3430591400988682,0.10514811304891734
300147,-0.348060849653,42.1437312781,-237.6379578581136,19.39081583143784,212.03203334842644,1.9339728566729977,0.18898119178471623,0.13621250116196082,0.0257416008055644
300010,0.348226716958,42.2094408306,-74.44631785092473,16.355032777127505,211.77598193468583,0.8321707379680315,0.15939471617736822,0.058610986819855986,0.009342281609026415
300047,-0.35624070233,41.3268235755,-48.91798917287027,16.813889556084167,211.81191257637911,4.156245987052025,0.16386669413330016,0.2927304069378894,0.047968764057207604
300082,-0.397633200755,42.0980471594,-119.73065576451248,16.183891415265656,211.76283377543044,2.173096883410362,0.15772678746258587,0.15305435168609324,0.0241407711986163
300136,-0.401895620107,42.5981241067,-68.8995784552558,16.433300297905657,211.7820407540276,3.819453148222239,0.1601575045759208,0.269009600933734,0.043083906392511126
300019,0.42257930911,41.4559237712,-410.8835596330772,29.67683964566297,213.21888809065172,4.810135058261737,0.2892278784654642,0.3387847585099012,0.09798599696025334
300011,-0.448247656942,41.1773949232,-205.04517253201809,18.05229350087428,211.91381438665385,3.3526788001600996,0.17593607045205695,0.2361340095269524,0.041544489736260584
300144,0.464663766592,41.9432695395,-108.16256862973954,16.14727344637231,211.76003840907137,2.0007354406911935,0.1573699119467563,0.1409146863667719,0.022175731785543676
300076,0.477312372639,41.248146714,-29.70571294659765,17.317774583486692,211.8525070509762,3.2563397315878486,0.1687775134525481,0.2293487098033489,0.03870890495415927
300113,0.494039085023,40.9225655421,-19.46748988271704,17.63761129459064,211.8788917269451,2.338052994667885,0.1718946140101705,0.1646724488164694,0.028306307027416565
300111,-0.498265448081,41.4391651338,-63.809535496069856,16.515754186513202,211.78845474578824,5.318390902206131,0.1609610929484675,0.37458195157544744,0.060293120324353945
300155,-0.498271735081,42.4025079835,-17.018289454965583,17.71912772957111,211.88569303932795,0.535783231851394,0.1726890660418212,0.03773598674836877,0.006516592307742344
