,target,predicted
0,-2.2,-50.12155211060374
1,-1752.9,-146.82260895878966
2,-13.24,-88.37228572789195
3,-74.17,-123.22551127775013
4,-7.22,-68.54425551840433
5,-0.71,-16.600500887395068
6,-6.06,-41.65092590851927
7,-1.63,-33.03164948710096
8,-2.5,-53.73538712012009
9,-4.6,-74.6066254724741
10,-14.69,-69.78059217953611
11,-5.29,-45.788120527382915
12,-11.88,-72.15450861330092
13,-8.2,-55.32639578565735
14,-2.02,-41.65092590851927
15,-7.5,-69.78059217953611
16,-85.25,-92.8435254772339
17,-64.33,-124.45889898582725
18,-1671.03,-108.7544234399891
19,-47.31,-115.36766055023375
20,-21.22,-64.56233572081817
21,-2.51,-31.759610462719753
22,-5.88,-63.679692508967314
23,-11.12,-108.7544234399891
24,-28.74,-96.13563751577225
25,-0.61,-16.600500887395068
26,-73.38,-85.32418584332231
27,-36.16,-74.6066254724741
28,-1.58,-16.814648206324232
29,-6.74,-47.51004061497126
30,-2.54,-53.73538712012009
31,-3.78,-69.41192840519716
32,-31.44,-127.82548005743885
33,-0.94,-16.597860902258226
34,-3.29,-69.41192840519716
35,-8.33,-115.02850026384124
36,-5.72,-59.77065371472864
37,-33.33,-83.12745342701108
38,-1890.34,-153.91913425558388
39,-20.06,-146.82260895878966
40,-8.08,-73.72301170900252
41,-10.78,-68.87176717913574
42,-45.06,-109.3673972582829
43,-3.65,-64.56233572081817
44,-1.22,-16.597860902258226
45,-4.78,-92.57143247672394
46,-15.66,-81.11251580055709
47,-1.33,-16.597860902258226
48,-19.66,-61.301341630759005
49,-10.1,-115.02850026384124
50,-42.8,-121.45992213339072
51,-31.82,-61.301341630759005
52,-0.73,-48.55100112182186
53,-0.5,-19.241224249247786
54,-23.47,-99.00557252508678
55,-83.28,-108.16222798909091
56,-2.26,-47.68963188669229
57,-9.74,-88.37228572789195
58,-1.23,-47.83223187340497
59,-1.11,-16.62502528918972
60,-42.7,-122.76921031861585
61,-4.84,-59.77065371472864
62,-0.74,-16.931630800732876
63,-26.93,-153.91913425558388
64,-5.59,-56.621591334436516
65,-43.06,-81.11251580055709
66,-5.01,-45.788120527382915
67,-5.63,-92.57143247672394
68,-1575.97,-124.08747739284253
69,-49.18,-122.76921031861585
70,-24.54,-123.22551127775013
71,-3.54,-19.25628453929188
72,-6.67,-73.72301170900252
73,-7.38,-118.16062569453995
74,-47.16,-140.15747089118355
75,-16.54,-83.12745342701108
76,-93.9,-112.62542892459761
77,-0.37,-19.90269961550295
78,-13.09,-121.45992213339072
79,-105.08,-112.62542892459761
80,-4.93,-39.50768555685507
81,-3.01,-47.68963188669229
82,-82.29,-112.62542892459761
83,-49.41,-99.00557252508678
84,-22.17,-57.16529417776092
85,-37.2,-127.82548005743885
86,-47.48,-124.08747739284253
87,-16.21,-88.37228572789195
88,-2.7,-19.25628453929188
89,-3.29,-33.03164948710096
90,-8.15,-56.621591334436516
91,-37.03,-108.72761764927503
92,-13.61,-100.17572591849563
93,-2.7,-58.98656644447624
94,-54.98,-115.36766055023375
95,-5.3,-39.50768555685507
96,-1.21,-47.83223187340497
97,-1.39,-50.12155211060374
98,-3.28,-124.08747739284253
99,-7.06,-68.87176717913574
100,-2.8,-19.25628453929188
101,-2.76,-47.788544924773205
102,-45.05,-109.3673972582829
103,-2.39,-60.946760516895324
104,-1.01,-16.62502528918972
105,-3.59,-68.87176717913574
106,-3.18,-121.45992213339072
107,-9.45,-83.12745342701108
108,-5.53,-118.16062569453995
109,-65.41,-57.16529417776092
110,-5.02,-39.50768555685507
111,-6.16,-55.32639578565735
112,-44.74,-115.36766055023375
113,-6.41,-63.679692508967314
114,-47.2,-85.32418584332231
115,-0.81,-16.600500887395068
116,-2.07,-31.759610462719753
117,-1.65,-16.814648206324232
118,-20.56,-99.00557252508678
119,-173.76,-108.16222798909091
120,-5.3,-62.75061365812128
121,-5.14,-47.51004061497126
122,-1.16,-50.12155211060374
123,-14.12,-69.78059217953611
124,-8.93,-113.95813401983763
125,-4.09,-45.788120527382915
126,-58.05,-100.17572591849563
127,-81.84,-108.72761764927503
128,-1.32,-16.931630800732876
129,-10.77,-115.02850026384124
130,-1138.3,-140.15747089118355
131,-1.97,-16.931630800732876
132,-0.52,-48.55100112182186
133,-17.87,-68.54425551840433
134,-9.31,-63.679692508967314
135,-3.73,-92.57143247672394
136,-5.02,-47.51004061497126
137,-3.73,-60.946760516895324
138,-1.54,-41.65092590851927
139,-9.12,-146.82260895878966
140,-2.58,-60.946760516895324
141,-28.09,-91.74694680933894
142,-9.91,-73.72301170900252
143,-8.79,-72.15450861330092
144,-2.86,-47.788544924773205
145,-6.65,-56.621591334436516
146,-0.51,-48.55100112182186
147,-0.26,-19.241224249247786
148,-41.92,-123.80542276263694
149,-27.73,-61.301341630759005
