Sample_ID,Sample_Longitude,Sample_Latitude,Respiration_Rate_mg_per_L_per_H,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
300043,0.00215425132404,41.1354301927,-3.925321193408947,2.070104523636662,19.42005770122411,3.02459586644583,0.21195492185288548,0.20836689718517873,0.04416438940961278
300086,0.0929537798368,41.6807228018,-6.264853660981402,1.7810432063523445,19.391374971439923,3.676640046751528,0.1823583637003256,0.25328675711926124,0.046188958575230275
300022,-0.122749631011,41.9274349592,-7.667003545888841,1.7208848297154995,19.38594214830009,3.7512137120207987,0.17619883703233938,0.2584241982618174,0.04553404319474692
300023,-0.131028213696,41.9189335585,-8.04737654813908,1.721421582450609,19.385989803067048,3.772783083808069,0.17625379434619742,0.2599101300265884,0.045810146606199746
300153,0.144292716085,41.1228657667,-4.501471664557995,1.9806006603172777,19.41072093858809,2.902092931406735,0.20279075446965378,0.1999275692229381,0.040543462602003554
300243,0.15197278372,40.8773167223,-3.267465435427843,2.184019102605549,19.432530659197187,2.3528228252736625,0.22361846608824532,0.16208789979761062,0.0362458475242069
300040,0.155988967052,42.0066463438,-7.581641205152217,1.7217692425841895,19.38602067740571,3.186838939900894,0.17628939074995534,0.21954395597199242,0.03870327024113756
300156,0.164458586753,41.8933299794,-39.2706914721716,9.432844579384613,21.490273735783788,5.016435928869072,0.9658149203797387,0.34558639751596676,0.33377249900120415
300088,0.168800847112,41.9388674072,-6.780125943734135,1.7478363745170808,19.388353214550683,4.2426190860252815,0.17895836560058687,0.29227751869293894,0.05230550704708333
300012,-0.173455555206,40.9438135929,-4.539840149672869,1.9750155730251493,19.41015185138397,3.166336264036145,0.20221890569244083,0.21813150976675735,0.04411031520207364
300145,0.20188731385,41.6397877024,-5.739936308117077,1.827293753891181,19.39567763299603,4.551486287867493,0.18709388844186173,0.3135556342931417,0.05866434286275825
300087,-0.206099109907,41.8023187669,-9.391969309400867,1.7809108179209308,19.391362812383267,4.829855280025682,0.18234480864582758,0.3327327031412605,0.0606720810845021
300152,-0.211163696326,40.9177701687,-10.443965186678534,1.8852152527422064,19.401220191762803,1.9480892028565449,0.19302438452183932,0.13420546762703725,0.025904927788174496
300101,0.234624198559,42.1529567829,-6.013416700299164,1.801685639161842,19.393281814134884,0.3476584475163254,0.18447191167968283,0.02395047642325753,0.004418190171437489
300064,0.243970624332,41.210952793,-4.908605254104127,1.9239066317155535,19.405018039353944,2.0232201373902527,0.1969859372420224,0.13938129950761416,0.02745615591751841
300046,-0.269155186124,40.8132822771,-3.91447791621704,2.0718855957902296,19.42024763750802,1.7227572008658019,0.21213728318044806,0.11868216065825926,0.025176911124028575
300021,0.276215703,41.369104296,-5.74032786554271,1.8272547998248607,19.39567396311806,2.6915143582929564,0.18708989999297498,0.18542063810524123,0.03469032863974319
300146,-0.280984065103,42.2299979563,-7.822170124926532,1.7202202292863298,19.38588316320252,1.0426111696476263,0.17613078958332432,0.07182634109904043,0.012650830170655169
300085,0.29385672446,41.5812781006,-39.684490902499945,9.552887185247426,21.54323471427068,4.648294483036399,0.9781059041702438,0.3202248304899697,0.31321379736415483
300135,-0.326989446909,42.7815326509,-18.572903236211843,3.605947803233864,19.643221933780108,5.310421776673103,0.3692076299110415,0.3658393243955047,0.13507066988832095
300160,0.343430427561,41.4757787139,-7.417042910093651,1.724511615950022,19.386264433707684,4.8241198744434275,0.1765701782782224,0.33233758633291904,0.05868090686735765
300013,0.343444636563,41.52627697,-39.26069352372338,9.429944831218538,21.489001091254057,4.967104771975427,0.965518019479849,0.34218793353917015,0.3303886158806418
300147,-0.348060849653,42.1437312781,-7.464584187423096,1.723579509133592,19.386181540066055,1.973486332112419,0.17647474124826612,0.13595509675242382,0.023992640520766977
300010,0.348226716958,42.2094408306,-4.505001587239424,1.98008478495644,19.41066830729197,0.6822508810432095,0.2027379347590818,0.047000824395054465,0.009528850069827613
300047,-0.35624070233,41.3268235755,-6.046492894804183,1.7988090035971744,19.39301477881959,4.250269884787389,0.1841773772446596,0.29280458851298796,0.05392798115752391
300082,-0.397633200755,42.0980471594,-7.066661221835424,1.7348658709281803,19.38718824301771,2.284936893585864,0.17763033503827091,0.15741118212261976,0.02796100101921123
300136,-0.401895620107,42.5981241067,-5.252142954542145,1.880710455446238,19.40078297897581,3.8415583348145104,0.19256314502985813,0.26464811364096913,0.05096147308892431
300019,0.42257930911,41.4559237712,-5.489315584187583,1.8535358827697712,19.398167533269937,4.925729041334535,0.18978078096936735,0.339337525420831,0.06439974058657785
300011,-0.448247656942,41.1773949232,-4.17454172617889,2.0301271334167024,19.41583695229045,3.386268310574907,0.2078616963547506,0.2332828093626,0.04849056048451193
300144,0.464663766592,41.9432695395,-9.208276351865956,1.767660443965731,19.39015038170808,1.8711767368534162,0.18098812257315428,0.12890690457809528,0.02333061864630621
300076,0.477312372639,41.248146714,-5.809320581423812,1.820492457165548,19.395038055303974,3.37580039370468,0.18639751379047584,0.23256166595880218,0.04334891633769186
300113,0.494039085023,40.9225655421,-5.602872806880164,1.8413240751915367,19.397004478268617,2.480213570807925,0.18853043216264137,0.17086395304543595,0.0322130549086733
300111,-0.498265448081,41.4391651338,-5.735372650350646,1.827748246171772,19.39572045662333,5.430689183258653,0.18714042323018545,0.3741246449636991,0.07001384439934953
300155,-0.498271735081,42.4025079835,-4.714356096233197,1.9502393402122729,19.40764647926699,0.3220572160391547,0.1996821040818455,0.022186786527957223,0.004430304216717242
