,target,predicted
0,-4.79,-49.66938567190782
1,-37.03,-143.83044595164782
2,-2675.86,-2593.457480052784
3,-47.2,-117.35735725201138
4,-42.76,-83.35500987535059
5,-1.16,-51.64645989415676
6,-1.29,-143.7842078101387
7,-15.34,-79.36472050019371
8,-5.0,-121.44243861327624
9,-14.92,-114.38295976794609
10,-3048.94,-2833.7974315869737
11,-3.18,-187.09113758522966
12,-3.22,-54.637365669494166
13,-47.08,-220.85280510020235
14,-2260.74,-1604.2966254147873
15,-3.21,-147.19585862218614
16,-2236.81,-2931.3714051227407
17,-2.21,-90.5472328865279
18,-1599.21,-1414.6092743033305
19,-7.91,-54.637365669494166
20,-988.01,-1604.2966254147873
21,-6.06,-49.97694795271146
22,-55.84,-167.02970549466852
23,-36.16,-92.205894370614
24,-39.92,-217.45452068665213
25,-16.41,-62.59656962678382
26,-3.26,-44.619902955489714
27,-2.02,-49.97694795271146
28,-9.63,-75.84546416786682
29,-2448.32,-2593.457480052784
30,-1531.16,-366.7399561862593
31,-31.82,-119.0666878807209
32,-2.98,-146.62151554040662
33,-15.94,-79.36472050019371
34,-13.78,-177.20132020465445
35,-6.74,-53.633332594487506
36,-9.12,-198.1075530276665
37,-1.78,-166.64732650734157
38,-2.5,-57.13554182597307
39,-8.2,-61.17321310606314
40,-1.67,-143.7842078101387
41,-8.99,-51.55361232981461
42,-3800.03,-2931.3714051227407
43,-2.89,-121.44243861327624
44,-3.28,-128.0404837885606
45,-1.72,-130.0806836285115
46,-27.46,-112.71652375525903
47,-12.27,-52.26356928344867
48,-21.63,-83.86914407668522
49,-1.8,-126.9252910125252
50,-29.12,-366.7399561862593
51,-12.16,-176.24451397199232
52,-35.1,-426.0134183881029
53,-3105.59,-3449.7223175176887
54,-35.52,-212.33683455059963
55,-93.9,-153.17704714233176
56,-4.28,-59.65099831884871
57,-132.92,-221.84546542873832
58,-22.3,-79.48929500322497
59,-4.97,-68.75087578466702
60,-17.53,-331.11491591345055
61,-2.71,-125.67607016256497
62,-13.61,-108.21434063725559
63,-43.22,-179.79790783597235
64,-2.54,-57.13554182597307
65,-2757.22,-2794.387449481092
66,-1806.3,-2116.779091888687
67,-32.54,-208.48900895874885
68,-4.81,-169.26388587667617
69,-2.05,-52.34038695852501
70,-61.3,-220.85280510020235
71,-21.96,-130.0806836285115
72,-2.66,-46.208004165979006
73,-3555.34,-3576.7245007601578
74,-22.07,-116.7690793970741
75,-5.81,-113.06309091847807
76,-8.79,-123.67276314114598
77,-11.55,-61.04668992919317
78,-43.06,-116.7733502982735
79,-4007.87,-3963.193547349102
80,-33.33,-134.90822967122918
81,-9.74,-105.2324346183512
82,-10.64,-62.54913547179553
83,-10.54,-52.26356928344867
84,-4.86,-57.14437006184343
85,-1.77,-54.14410460287141
86,-41.92,-416.68602567938865
87,-3293.85,-2584.4850782897142
88,-8.65,-59.65099831884871
89,-139.47,-167.02970549466852
90,-1.54,-49.97694795271146
91,-2.85,-57.13554182597307
92,-4.77,-137.43972232901226
93,-7.5,-49.66938567190782
94,-3976.99,-3693.599100364773
95,-20.32,-147.19585862218614
96,-6.87,-68.54685708958733
97,-35.76,-147.19585862218614
98,-3.7,-44.619902955489714
99,-3.65,-145.0521758377276
100,-9.91,-86.1109489871671
101,-97.9,-281.99806569950186
102,-3.73,-54.6192588710295
103,-5.6,-54.637365669494166
104,-12.89,-154.93824708773718
105,-6.06,-58.87540315981997
106,-2.16,-146.62151554040662
107,-5.3,-58.87540315981997
108,-2.5,-52.212295701293385
109,-3.99,-93.95877259467504
110,-17.33,-80.13323792003136
111,-2196.81,-2872.245546729519
112,-11.46,-62.181992565402965
113,-28.09,-94.9634545290379
114,-19.64,-146.2441133439528
115,-1671.03,-208.2315772905147
116,-2741.44,-2116.779091888687
117,-4.13,-125.72810421217176
118,-17.66,-90.6682200376217
119,-29.51,-80.13323792003136
120,-37.2,-168.61741313481733
121,-88.82,-134.04591366755844
122,-2.37,-83.86914407668522
123,-42.7,-163.0565152464708
124,-77.62,-148.13052707705174
125,-58.05,-108.21434063725559
126,-7.5,-117.08674028230574
127,-54.98,-157.00578376418034
128,-1.45,-51.55361232981461
129,-3631.26,-3576.7245007601578
130,-2289.87,-2437.3264033662063
131,-1841.16,-1859.2324903493418
132,-33.1,-82.62743959028325
133,-9.45,-134.90822967122918
134,-18.67,-63.63023602035891
135,-19.26,-161.8704783889585
136,-33.5,-175.1470803791147
137,-7.06,-112.32843773952014
138,-10.88,-61.04668992919317
139,-2718.25,-2437.3264033662063
140,-5.53,-113.06309091847807
141,-2420.08,-331.11491591345055
142,-3.73,-108.00430409872567
143,-2328.29,-2696.001523420413
144,-1388.85,-169.26388587667617
145,-2756.74,-2916.5919764221853
146,-18.49,-119.7577612427791
147,-3.59,-112.32843773952014
148,-16.54,-134.90822967122918
149,-19.2,-131.27769854880802
150,-2.13,-102.83272980013574
151,-4.78,-108.00430409872567
152,-22.89,-175.1470803791147
153,-240.66,-331.11491591345055
154,-5.3,-116.23391967045245
