Sample_ID,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
100001,-67.9273612252,47.1601807342,-203.19309416415845,74.33529983316672,934.61788229388,1.250398777776169,0.1738329613802522,0.0882735927505251,0.015344860039498,0.0,0.0,241.12436095615092,17.76005142839437,210.369211662294,0.0,0.0550021019704915,0.0,0.004855233149766
100002,-68.0024586084,46.8479089414,-338.1890031226445,82.80922261526342,935.6963889369928,1.678210050687316,0.1913501485995118,0.1184755081316375,0.0226703060863915,0.0,0.0,470.4035266286177,39.81575706593447,211.57361853001305,0.0,0.0859863240236285,0.0,0.010187273431071
100003,-67.8319392853,46.7736187052,-325.9860607767438,83.2604816686565,935.7676190114926,1.8190858205196083,0.1918419238367846,0.1284208236226758,0.0246364978644784,0.0,0.0,483.0351752914002,41.09094522703991,211.66416410847003,0.0,0.0872873437337075,0.0,0.0112095125741183
100004,-67.2980373631,45.1687180464,-130.95131356545917,73.81937628950729,934.5760073271516,1.0819084764488058,0.1730682232822926,0.0763787920628301,0.0132187418387616,0.0,0.0,36.33012250008689,17.29341796769643,210.3351802104212,0.0,0.0554640998025281,0.0,0.0042362809457693
100005,-67.9355420529,44.6060839859,-65.58843385120682,75.52278080978053,934.7123172691964,0.5645776004710431,0.1775046573478176,0.0398571192373404,0.0070748242930951,0.0,0.0,27.57002475894803,17.301684816554765,210.33477058740928,0.0,0.0578051267555767,0.0,0.0023039458296265
100006,-68.6437497835,45.2562592587,-65.6300178094076,75.49042058002507,934.7093639150886,1.26051070882148,0.1771515457878264,0.0889874581979967,0.0157642657755046,0.0,0.0,23.04792061611312,17.505704135705127,210.35332612423613,0.0,0.0569431735241661,0.0,0.005067228273643
100007,-68.6976688239,44.8272759862,-69.12574155796082,75.41473196813946,934.7034327786891,1.252981090226144,0.1768956425936167,0.0884558945902383,0.0156474623147333,0.0,0.0,30.716612180096934,17.467591862372476,210.34927554612747,0.0,0.0565830769046808,0.0,0.0050051066862718
100008,-69.8848789022,45.0515545607,-60.32963256854858,75.66583796936773,934.723509390133,0.3443022023646849,0.1775364909049803,0.0243064796086114,0.0043152870959662,0.0,0.0,23.852472043445182,17.514559516817464,210.35425188260183,0.0,0.0569304175692753,0.0,0.0013837780337573
100009,-69.6814483853,44.4726905408,-63.70065185424479,75.571383059878,934.7160106235872,1.0320231487557616,0.1771696669600161,0.0728570698896575,0.0129080628080331,0.0,0.0,31.678612436257243,17.487228207411476,210.3512738488948,0.0,0.0563469980785148,0.0,0.0041052771770787
100010,-70.9770838575,44.389592367,-47.17711215032851,76.05548204832198,934.7552461977195,1.7746228386519405,0.1784698600075847,0.1252818992862005,0.0223590430270925,0.0,0.0,24.39882805134984,17.505164648154928,210.35290473626225,0.0,0.0574326830060052,0.0,0.0071952756080946
