Sample_ID GL_lon GL_lat RA_cms_cyr RA_cms_cmn RA_cms_cmx RA_SO RA_dm RA_lm my_lm RA_xam2 run_mm_cyr dor_pc_pva gwt_cm_cav ele_mt_cav slp_dg_cav sgr_dk_rav tmp_dc_cyr tmp_dc_cdi tmp_dc_uyr pre_mm_cyr pre_mm_cdi pre_mm_uyr aet_mm_cyr aet_mm_cdi aet_mm_uyr cmi_ix_cyr cmi_ix_cdi cmi_ix_uyr snw_pc_cyr snw_pc_cmx snw_pc_uyr for_pc_cse for_pc_use crp_pc_cse crp_pc_use pst_pc_cse pst_pc_use ire_pc_cse ire_pc_use gla_pc_cse gla_pc_use prm_pc_cse prm_pc_use pac_pc_cse pac_pc_use cly_pc_cav cly_pc_uav slt_pc_cav slt_pc_uav snd_pc_cav snd_pc_uav soc_th_cav soc_th_uav swc_pc_cyr swc_pc_cdi swc_pc_uyr kar_pc_cse kar_pc_use ero_kh_cav ero_kh_uav pop_ct_csu pop_ct_usu ppd_pk_cav ppd_pk_uav urb_pc_cse urb_pc_use nli_ix_cav nli_ix_uav rdd_mk_cav rdd_mk_uav hft_ix_c09 hft_ix_u09 gdp_md_cav gdp_md_usu hdi_ix_cav dist_m RA_lon RA_lat
SP-38 -82.2206 29.9046 1.646 1.299 2.184 2 0.344281 8.76 8750.36760805 1.90023 286 0 15 43 0 3 201 150 200 1330 147 1331 1126 84 1126 -11 78 -11 0 0 0 82 78 4 3 9 8 1 1 0 0 0 0 0 0 18 18 28 28 54 53 35 34 76 23 77 100 100 88 249 0.586 10.496 18.897 59.679 0 0 620 2000 289 651 73 170 0.050123 532.158 892 984.285771647 -82.2104166667 29.9046003911
SP-34 -82.2 29.9683 0.955 0.754 1.270 1 0.174796 15.69 10718.8972545 0.914085 289 0 15 48 0 8 200 150 200 1332 148 1332 1127 84 1127 -11 77 -11 0 0 0 81 81 3 3 7 7 1 1 0 0 0 0 0 0 18 18 29 28 53 52 33 33 77 22 77 100 100 300 300 8.591 8.591 83.764 83.764 0 0 2411 2400 808 807 193 193 0.050123 448.129 892 3770.14285796 -82.1729166667 29.94375
SP-45 -83.2387 30.1553 185.434 121.202 319.486 6 2.4071 2.91 2910.25082289 168.274 383 0 15 27 7 17 199 160 193 1369 134 1283 1159 86 1085 -10 91 -13 0 2 0 34 63 19 22 19 3 5 7 0 0 0 0 0 9 18 18 29 30 53 52 40 45 77 28 75 100 100 926 2530 0.160 349.512 13.323 18.693 0 1 498 800 258 303 61 85 0.050123 16821.5 892 169.551828205 -83.237370702 30.1542961533
SP-43 -82.2105 29.9499 0.955 0.754 1.270 1 0.174796 15.69 7101.51541277 0.914085 289 0 15 48 0 8 200 150 200 1332 148 1332 1127 84 1127 -11 77 -11 0 0 0 81 81 3 3 7 7 1 1 0 0 0 0 0 0 18 18 29 28 53 52 33 33 77 22 77 100 100 300 300 8.591 8.591 83.764 83.764 0 0 2411 2400 808 807 193 193 0.050123 448.129 892 3181.72687735 -82.1856305305 29.9310382953
SP-6 -92.656935 45.456254 129.688 108.069 149.784 5 1.88935 4.83 4838.66061471 85.1184 253 38 151 273 34 2 60 340 48 776 93 758 657 108 641 -14 118 -14 11 69 21 67 86 30 12 5 3 1 0 0 0 0 0 29 8 16 12 45 39 39 49 40 54 78 27 78 100 6 1005 541 0.145 186.247 12.466 13.322 0 0 1495 900 209 212 152 67 0.05307 10901.8 948 43.699537574 -92.6564790938 45.4564798387
SP-55 -116.989642 32.844144 3.156 0.327 11.443 3 0.680649 7.31 7310.8855297 8.45923 109 2783 432 168 52 26 177 108 156 327 62 483 278 40 407 -76 99 -65 0 0 0 17 61 0 2 2 3 0 1 0 0 0 0 0 10 18 14 31 26 51 60 14 22 22 35 32 0 0 659 2166 43.313 105.452 1238.999 128.505 88 10 6081 1700 4424 878 334 112 0.055768 5868.77 951 32.3763901724 -116.989377684 32.8439556618
SP-47 -82.7982 29.9365 41.591 31.135 56.389 4 1.30744 4.04 4038.90872111 35.3785 375 0 7 11 0 0 202 154 201 1231 131 1318 1042 79 1114 -21 82 -14 0 0 0 100 69 4 11 4 15 3 3 0 0 0 0 6 0 22 18 32 29 46 53 37 32 68 23 74 100 100 112 486 0.419 160.436 28.790 39.584 0 1 797 1400 174 587 92 125 0.050123 8400.62 892 119.780323917 -82.7982000194 29.9354166709
SP-5 -84.41527 33.68401 0.251 0.078 0.557 1 0.15764 2.56 2556.06197664 0.991406 516 0 142 299 18 21 160 206 160 1285 67 1285 976 98 976 0 111 0 0 0 0 15 15 0 0 0 0 0 0 0 0 0 0 0 0 20 20 35 35 46 46 25 25 79 40 79 0 0 33 33 15.151 15.151 984.224 984.228 100 100 6300 6300 8999 8998 413 413 0.04558 747.091 921 300.65126456 -84.4125 33.6854166667
SP-48 -82.9382 29.5861 0.323 0.230 0.436 1 0.140445 5.87 5865.18554802 0.527087 393 0 3 11 0 12 203 149 203 941 105 941 794 59 794 -40 79 -40 0 0 0 4 4 14 14 4 4 7 7 0 0 0 0 0 0 23 23 32 32 45 45 29 29 52 20 52 100 100 1177 1177 1.550 1.550 60.253 60.254 0 0 1754 1800 311 311 201 201 0.050123 59.6095 892 134.12647014 -82.9395833333 29.5861000072
SP-77 -73.631389 42.732778 4.767 2.501 13.520 3 0.737654 7.19 7202.80956018 9.7516 602 0 150 118 38 145 84 274 73 964 39 1061 740 106 752 -2 125 12 8 43 21 80 92 20 7 3 5 0 0 0 0 0 0 0 0 17 14 41 38 42 47 36 62 82 39 87 0 0 893 640 12.682 21.465 727.312 89.713 54 4 5992 2200 4044 817 369 156 0.063747 1730.9 952 110.057272607 -73.6303089861 42.732191076
SP-11 -106.950572 38.923901 0.834 0.151 3.385 2 0.329494 12.47 12473.784932 2.50489 207 0 489 3083 157 123 -2 239 -10 571 26 624 470 74 483 -27 155 -13 49 100 55 97 93 1 1 23 24 1 0 0 0 7 17 10 44 13 13 39 38 48 49 47 49 65 41 72 0 0 3098 6689 0.150 0.180 2.720 1.433 0 0 566 300 110 93 30 29 0.055481 9.64689 951 109.187047181 -106.950571992 38.9229166838
SP-44 -82.6819 29.8325 25.486 19.451 34.303 4 1.0125 7.76 7760.65171886 22.7134 375 0 9 19 0 1 203 151 201 1288 146 1335 1086 85 1129 -17 79 -12 0 0 0 40 85 12 11 16 16 5 2 0 0 0 0 0 0 21 17 31 28 48 54 33 34 71 21 76 100 100 351 362 2.681 82.978 62.442 32.070 0 0 1681 1300 738 529 174 116 0.050123 4224.87 892 43.6764318746 -82.6822408527 29.832240896
SP-64 -78.3708 38.44461 0.129 0.047 0.316 1 0.143562 0.54 545.25355694 2.47778 424 0 418 730 162 0 98 231 98 1163 36 1163 841 98 841 13 101 13 5 19 5 100 100 7 7 0 0 0 0 0 0 0 0 90 90 19 19 37 37 44 44 55 55 88 30 88 0 0 308 308 0.001 0.001 0.106 0.106 0 0 0 0 14 14 34 34 0.058068 0.01536 950 95.3756018724 -78.3708000127 38.4437500366
SP-63 -78.8105 38.1583 0.240 0.081 0.616 1 0.179817 5.88 5878.95646288 0.668197 401 0 369 570 97 188 110 229 110 1093 34 1093 852 96 852 -1 106 -1 4 18 4 100 100 2 2 8 8 0 0 0 0 0 0 56 56 21 21 39 39 41 41 45 45 83 37 83 100 100 631 631 0.705 0.705 37.355 37.352 0 0 811 800 241 241 96 96 0.058068 47.3591 950 234.739071565 -78.8105000324 38.1604167763
SP-29 -88.776194 33.289214 20.637 5.354 44.153 4 1.23238 2.93 2930.36601034 28.3532 652 0 53 80 9 31 169 207 167 1404 72 1418 1038 107 1045 2 120 3 0 1 1 100 92 7 8 5 5 0 0 0 0 0 0 86 17 23 20 44 38 34 41 35 31 80 45 80 100 21 166 370 0.001 16.305 0.268 16.179 0 1 15 700 163 194 32 68 0.040758 720.137 793 40.8897979364 -88.7761940312 33.2895833895
SP-30 -90.117483 31.658917 215.554 58.595 410.172 5 2.7038 1.22 1216.05383784 209.5 602 621 9 70 12 25 182 193 173 1500 75 1436 1132 107 1077 2 109 1 0 3 1 100 85 6 10 4 8 0 0 0 0 0 0 0 0 15 19 35 36 50 44 50 30 80 42 79 0 11 900 578 0.004 525.870 3.399 43.713 0 3 700 1200 128 508 85 101 0.040758 22285.5 793 199.347659603 -90.1190808888 31.6600860308
SP-56 -117.110272 32.780475 3.797 0.410 13.211 3 0.801836 1.99 1990.00704756 9.65427 90 2313 425 72 38 30 174 90 160 278 56 449 242 33 379 -76 99 -68 0 0 0 0 55 0 2 0 3 0 0 0 0 0 0 3 8 21 15 33 27 46 58 12 20 22 31 30 0 0 1 1850 9.875 404.491 2335.151 385.193 100 22 6300 2500 9600 2121 380 155 0.055768 21882.8 951 85.7812159714 -117.110271999 32.7812500689
SP-23 -121.53994 38.97338 20.924 1.851 56.946 4 1.30307 5.08 5077.53367265 35.7037 285 319 8 15 1 6 165 184 145 511 102 1049 431 71 613 -64 167 -19 0 3 4 21 76 56 12 13 20 77 14 0 0 0 0 4 5 19 19 35 36 46 46 14 32 37 66 58 0 0 922 1049 0.543 69.936 35.257 59.589 0 2 1124 1000 522 716 144 98 0.055768 4025.55 951 60.0060976234 -121.539583333 38.9729166667
SP-58 -72.16147 44.49125 0.174 0.083 0.425 1 0.149385 1.73 1729.10742488 0.842775 665 0 206 543 65 295 40 285 40 1132 60 1132 700 112 700 29 115 29 32 99 32 100 100 22 22 2 2 0 0 0 0 0 0 0 0 11 11 40 40 49 49 90 90 93 21 93 100 100 151 151 0.049 0.049 5.887 5.887 0 0 517 500 101 101 33 33 0.052646 1.31794 948 1670.74207656 -72.1458333333 44.48125
SP-2 -101.989284 41.293016 80.426 19.409 254.655 6 2.25761 2.67 2672.61104551 136.86 13 1649 208 1030 14 0 90 285 60 431 64 373 370 60 324 -62 76 -63 5 23 20 0 17 19 11 60 75 1 6 0 0 0 0 17 3 20 17 40 36 40 47 23 21 32 11 33 0 9 941 710 0.038 206.607 2.866 2.808 0 0 183 200 111 83 85 50 0.051859 11979.7 939 381.105344073 -101.989284124 41.2895834778
