Sample_ID,Sample_Longitude_avg,Sample_Latitude_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_avg,mean.error_avg,predict.error_avg,pca.dist_avg,mean.error.scaled_avg,pca.dist.scaled_avg,combined.metric_avg,Sample_Longitude_std,Sample_Latitude_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_std,mean.error_std,predict.error_std,pca.dist_std,mean.error.scaled_std,pca.dist.scaled_std,combined.metric_std,ensemble_spread_metric
CM_099-5,-82.79881,29.933820000000004,-94.44493674030858,74.75112221438744,934.6502464838866,2.3889249571173505,0.1750654599659931,0.1686493881185572,0.0295246827039585,0.0,0.0,37.04284190106689,17.582285070180436,210.35822991955345,0.0,0.0555232937702579,0.0,0.0093639695206809,0.0023272164854025133
CM_099-4,-82.79881,29.933820000000004,-160.7067102717097,74.28713417383976,934.613040907627,2.3889249571173505,0.1743559522011725,0.1686493881185572,0.0294050246535561,0.0,0.0,157.36692689276816,16.825227125212447,210.2973498597016,0.0,0.0558155077323582,0.0,0.0094132512265888,0.009886576939752407
CM_099-6,-82.79881,29.933820000000004,-95.8668607466392,74.6842160071088,934.64477276392,2.3889249571173505,0.1749562016312272,0.1686493881185572,0.0295062563526533,0.0,0.0,30.42316324655546,17.539465653928662,210.35527288528385,0.0,0.0557692242460068,0.0,0.0094054455449356,0.0019113351841246425
SSS021-3,-121.10819999999998,47.3543,-64.98587920790064,75.54712265775008,934.7140231214532,2.428514473822352,0.1770375625668179,0.1714442635910227,0.0303520745422176,0.0,0.0,33.52587486358689,17.5143686195037,210.35366206916345,0.0,0.0560420695182427,0.0,0.009608091338672,0.002141168250192832
SSS021-1,-121.10819999999998,47.3543,-65.85078685592096,75.51988625519861,934.7118170680212,2.428514473822352,0.1769668281706986,0.1714442635910227,0.0303399475357644,0.0,0.0,33.102286321451,17.525945889272478,210.3546514996806,0.0,0.0560408390200283,0.0,0.0096078803768118,0.002114115284647347
SSS021-2,-121.10819999999998,47.3543,-70.12319027395333,75.3942238827108,934.701683921141,2.428514473822352,0.1766367317129512,0.1714442635910227,0.0302833543916519,0.0,0.0,31.167041011355646,17.583378304798618,210.3593883894553,0.0,0.0560988356121366,0.0,0.0096178235598366,0.0019905186348605497
CM_071-5,-96.20896,40.989942,-382.37335363554206,71.24804427682852,934.3753875375684,2.453504975600257,0.1673572574714238,0.1732085018610707,0.0289876998422027,0.0,0.0,105.14014324491257,16.10646797480203,210.2460245862013,0.0,0.0534866426978776,0.0,0.0092643412512777,0.006783994489744172
CM_071-4,-96.20896,40.989942,-378.4515163991336,71.30475309552952,934.37974095374,2.453504975600257,0.1675200277817338,0.1732085018610707,0.029015893043799,0.0,0.0,112.08711370203162,16.196063012154188,210.25277123986635,0.0,0.0537825248719827,0.0,0.0093155905593819,0.007232236311060044
CM_071-6,-96.20896,40.989942,-378.7665407303202,71.247998658302,934.3753736717164,2.453504975600257,0.1673633078784814,0.1732085018610707,0.0289887478241448,0.0,0.0,105.9055224079631,16.12879873752128,210.2477877661829,0.0,0.0535563989206411,0.0,0.0092764236221181,0.006833379319024887
S19S_0070-U,-123.752011,39.339682,-52.649667983082416,75.91786884233085,934.744749929124,2.5071186053159846,0.1780223216759802,0.1769934285576728,0.0315087810732285,0.0,0.0,46.189853282626906,17.717187469629962,210.36724623637951,0.0,0.0575201911931651,0.0,0.0101806958505711,0.00304544977524826
S19S_0070-M,-123.752441,39.339892,-51.386239126996905,75.94904526623625,934.7472031659725,2.5071186053159846,0.178099732451957,0.1769934285576728,0.031522482271876,0.0,0.0,42.73033642608019,17.720914601657913,210.3679519718593,0.0,0.0575250701119386,0.0,0.0101815593871325,0.002817352388387745
S19S_0070-D,-123.752414,39.339914,-51.1060827131175,75.95552429364685,934.7477036249812,2.5071186053159846,0.1781149064627549,0.1769934285576728,0.0315251679720721,0.0,0.0,41.8975010224952,17.719904035205293,210.3679951621312,0.0,0.057520740511191,0.0,0.0101807930762519,0.002762440796070116
S19S_0084-U,-71.722778,43.954722,-49.85797337627469,75.97248272634562,934.7485002582812,2.541720095502059,0.1782993396767446,0.179436167552251,0.031993350188692,0.0,0.0,22.39298865212168,17.536685147400483,210.3555125704009,0.0,0.057541807765039,0.0,0.0103250814593869,0.0014968206350265613
S19S_0084-D,-71.722778,43.954722,-49.00270140061467,76.00364851127658,934.7510589522312,2.541720095502059,0.1783678377421574,0.179436167552251,0.0320056412190344,0.0,0.0,22.616571763002288,17.541949609819596,210.3558273318722,0.0,0.0575308036485725,0.0,0.0103231069229009,0.001511765661758302
S19S_0084-M,-71.722778,43.954722,-48.68361505949957,76.01677176532681,934.7521378858994,2.541720095502059,0.1783904619845429,0.179436167552251,0.0320097008263818,0.0,0.0,22.78556472240525,17.54668949607115,210.3561643721461,0.0,0.0575072203260866,0.0,0.0103188752218958,0.0015230617041373793
SSS001-2,-120.5731,46.0417,-2555.3172370877987,225.054071820104,960.8757231811928,2.556035404012306,0.4905768633672654,0.1804467761164877,0.0885230134319616,0.0,0.0,1145.095194638741,102.0912718780598,221.8062246650813,0.0,0.1768135976294999,0.0,0.0319054436658011,0.07697300405089694
SSS001-1,-120.5731,46.0417,-2852.8427642124097,245.45646737964563,965.3832660807068,2.556035404012306,0.5505592244418036,0.1804467761164877,0.0993466371117172,0.0,0.0,1036.232002181522,97.04135801417068,221.8357898951683,0.0,0.1783274328669604,0.0,0.0321786103539724,0.06965524829291674
