GL_id,lon,lat,rate.mg.per.L.per.h,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
300043.0,0.00215425132404,41.1354301927,22.75252205830727,14.306199549356212,16.428729548261646,3.3481035760943842,0.011977957761721997,0.22680379759251068,0.002716646307761238
300086.0,0.0929537798368,41.6807228018,-13.468440475323456,5.674200132832314,9.870782956349496,4.045272866642872,0.0047507606257093824,0.2740307244385803,0.001301854375897425
300022.0,-0.1227496310109999,41.9274349592,-18.982338665697245,8.584690448632932,11.786972432426191,4.108264065668717,0.007187587397787332,0.27829780961956885,0.0020002898292534313
300023.0,-0.131028213696,41.9189335585,-20.134827362625725,9.199632041793652,12.242101074910382,4.119090665084404,0.007702451209339339,0.27903121401004927,0.002149224311795128
300153.0,0.144292716085,41.1228657667,2.5388226753328667,3.626101135388476,8.853497527417684,3.194210585437597,0.0030359765421676833,0.21637893650008785,0.0006569213754334574
300243.0,0.15197278372,40.8773167223,56.16272672241816,32.38396809887051,33.3759973461856,2.546726384729184,0.027113685972783668,0.17251772603744006,0.004677591448517875
300040.0,0.155988967052,42.0066463438,-17.51942527883967,7.806497820052727,11.232863269817429,3.531565450340289,0.006536040604842132,0.2392316836619582,0.001563627998379307
300156.0,0.164458586753,41.8933299794,-23.815087330625857,11.171081894139862,13.785096289453508,5.365776580052686,0.009353060302221635,0.36348293227192463,0.0033996777843676535
300088.0,0.168800847112,41.9388674072,-14.310912885768367,6.113809041219124,10.129880059330326,4.599541088022895,0.005118826017092161,0.311577393660946,0.0015949104690094165
300012.0,-0.1734555552059999,40.9438135929,8.051617529668277,6.443517005762038,10.332217594856878,3.4756455912184934,0.005394876135040926,0.235443617934178,0.0012701891555407907
300145.0,0.20188731385,41.6397877024,-13.002177545444347,5.432144588749032,9.733653160915528,4.9047059275776395,0.004548098061621867,0.3322495571498255,0.001511103566847845
300087.0,-0.2060991099069999,41.8023187669,-32.090027085354805,15.627506792348766,17.59132677113447,5.179311787660544,0.013084230765409714,0.3508516256021441,0.004590623633797584
300152.0,-0.211163696326,40.9177701687,12.218825561546534,8.6510975238724,11.835425526421794,2.100149108692135,0.007243187149458183,0.14226614635307655,0.0010304603230675412
300101.0,0.234624198559,42.1529567829,8.130695613587271,6.485064761074039,10.358179086077328,0.5908166275128895,0.005429662260909267,0.040022493855173875,0.00021730862447291065
300064.0,0.243970624332,41.210952793,-0.3738845557528396,2.3205041369622976,8.40360330296383,2.3283854680015845,0.0019428570419798418,0.15772709965502205,0.00030644120627581583
300046.0,-0.2691551861239999,40.8132822771,33.62397387235201,20.17850529850091,21.734946172133824,1.8938621811948033,0.016894583591279762,0.12829206894276446,0.0021674410828517606
300021.0,0.276215703,41.369104296,-2.918118512836057,1.640388503747072,8.24176458455051,3.083305121006783,0.0013734258454112622,0.20886609230785053,0.00028686208940565636
300146.0,-0.280984065103,42.2299979563,-6.855339608817515,2.456769686278963,8.442246520645122,1.1660475558100276,0.0020569462512392157,0.07898919726362849,0.00016247653319981554
300085.0,0.29385672446,41.5812781006,-30.970747333998645,15.02355106383023,17.05704826725421,4.963360126414348,0.01257856493982219,0.33622284971338173,0.004229200949371848
300135.0,-0.326989446909,42.7815326509,1.7533904809061776,3.250089037193636,8.706255668978008,5.0148001907091055,0.0027211579899354145,0.3397074497758635,0.0009243976411981745
300160.0,0.343430427561,41.4757787139,-20.015504124818577,9.135898253033224,12.194279228954082,5.1787694216643425,0.0076490896839996984,0.35081488520124915,0.0026834145193864135
300013.0,0.343444636563,41.52627697,-25.41697073078348,12.03181203286023,14.491387435922263,5.308051155933606,0.010073712157402673,0.359572555812449,0.003622230426956219
300147.0,-0.348060849653,42.1437312781,-8.384982563453791,3.130075133627788,8.662169437622453,2.3007848692344433,0.002620675575806374,0.15585740820912086,0.00040845170300212694
300010.0,0.348226716958,42.2094408306,-2.078135393252678,1.7772914660671546,8.270101207317875,0.8295882661329294,0.001488048732815231,0.05619711723990903,8.362404909671561e-05
300047.0,-0.35624070233,41.3268235755,-6.403781203552351,2.2778644356547426,8.391929182920109,4.652108013977011,0.001907156677290233,0.31513832842989525,0.0006010181673351572
300082.0,-0.3976332007549999,42.0980471594,-10.850483773992842,4.3313549547978845,9.16495743407342,2.666050381466726,0.003626454847117592,0.18060084980852736,0.0006549408271816903
300136.0,-0.401895620107,42.5981241067,0.1864747574614069,2.547602096899019,8.46912542521657,3.48184932700614,0.002132996272354109,0.23586386503941845,0.0005030967449121122
300019.0,0.4225793091099999,41.4559237712,-6.186077896177743,2.196176013880128,8.370125334059692,5.308249806381029,0.0018387625197599687,0.3595860125872604,0.0006611932825753907
300011.0,-0.448247656942,41.177394923200005,18.641577705003947,12.092420239860786,14.541748047649577,3.692683638222519,0.010124456769272639,0.2501459866524112,0.002532592227869388
300144.0,0.464663766592,41.9432695395,-8.014416939517432,2.9596660234191825,8.602059752995638,1.9055253628488276,0.0024779994501694185,0.1290821442289746,0.0003198654824260886
300076.0,0.4773123726389999,41.248146714,-3.4218820750387544,1.6154185461998125,8.236831071676276,3.7754209749209675,0.0013525195875486334,0.25575069443381987,0.00034590782375090663
300113.0,0.494039085023,40.9225655421,0.1931739106947587,2.5504140348318773,8.469971710282914,2.8700623352356587,0.0021353505855084983,0.19442081828245286,0.00041515660815447705
300111.0,-0.498265448081,41.4391651338,-15.943538823328089,6.972148115121049,10.669894955579997,5.81452757060886,0.005837475937845957,0.39388176149520304,0.002299275305084628
