,Sample_ID,gid,Sample_Longitude,Sample_Latitude
138,S19S_0016-U,48,-96.60276,39.10415
139,S19S_0017-D,49,-96.44355,38.94668
140,S19S_0017-M,49,-96.44379,38.94667
141,S19S_0017-U,49,-96.44389,38.94684
142,S19S_0018-D,50,-83.504941,35.6922935
143,S19S_0018-M,50,-83.5044488,35.692083
144,S19S_0018-U,50,-83.5041467,35.6918387
145,S19S_0019-D,51,-84.278999,35.9563807
146,S19S_0019-M,51,-84.2789099,35.956601
147,S19S_0019-U,51,-84.2786976,35.9572803
148,S19S_0020-D,52,-88.15755,31.85294
149,S19S_0020-M,52,-88.1575,31.85302
150,S19S_0020-U,52,-88.15748,31.8531
151,S19S_0021-D,53,-87.79835,32.54069
152,S19S_0021-M,53,-87.79828,32.54082
153,S19S_0021-U,53,-87.79821,32.54108
154,S19S_0022-D,38,-87.40811,32.96161
155,S19S_0022-M,38,-87.40821,32.96156
156,S19S_0022-U,38,-87.40828,32.96142
157,S19S_0023-D,54,-102.44896,39.75841
158,S19S_0023-M,54,-102.44896,39.75861
159,S19S_0023-U,54,-102.44917,39.75854
160,S19S_0024-D,55,-96.6227,34.44205
161,S19S_0024-M,55,-96.62255,34.44223
162,S19S_0024-U,55,-96.62259,34.44251
163,S19S_0025-D,56,-97.78275,33.37853
164,S19S_0025-M,56,-97.78307,33.37834
165,S19S_0025-U,56,-97.78338,33.37834
166,S19S_0026-D,57,-105.54327,40.03489
167,S19S_0026-M,57,-105.54371,40.03496
168,S19S_0026-U,57,-105.54393,40.03497
169,S19S_0027-D,58,-105.91125,39.89064
170,S19S_0027-M,58,-105.91152,39.89078
171,S19S_0027-U,58,-105.91164,39.89071
172,S19S_0028-D,59,-111.507871,33.750675
173,S19S_0028-M,59,-111.508001,33.750788
174,S19S_0028-U,59,-111.508141,33.750837
175,S19S_0029-D,60,-111.80126,40.78319
176,S19S_0029-M,60,-111.79582,40.78466
177,S19S_0029-U,60,-111.79547,40.78464
178,S19S_0030-U,37,-121.929928,45.792233
179,S19S_0031-D,61,-122.1650676,44.2602628
180,S19S_0031-M,61,-122.1647132,44.2602364
181,S19S_0031-U,61,-122.1642723,44.2605576
182,S19S_0032-D,62,-119.02313,39.95545
183,S19S_0032-M,62,-119.02367,36.95503
184,S19S_0032-U,62,-119.02375,36.95497
185,S19S_0033-D,63,-119.2554,37.0576
186,S19S_0033-M,63,-119.2557,37.0582
187,S19S_0033-U,63,-119.256,37.0581
188,S19S_0034-D,64,-106.5233,35.8677
189,S19S_0034-M,64,-106.5232,35.8678
