,target,predicted
0,-3.29,-62.75870765520432
1,-2.51,-58.24452544753072
2,-1694.52,-465.5928705488488
3,-0.81,-49.92649735441084
4,-1.64,-49.72136107034712
5,-3.28,-159.5988614595289
6,-2.5,-50.884662879987005
7,-1918.37,-1830.331600929822
8,-2.85,-60.540665061622406
9,-4.93,-62.62406806097183
10,-5.02,-62.62406806097183
11,-0.51,-53.60875740453106
12,-2.02,-52.98908364625317
13,-173.76,-195.74483003754375
14,-65.41,-86.63699830570759
15,-3.3,-56.138120279058874
16,-2.89,-53.22750620296595
17,-5.53,-92.19106024516833
18,-16.21,-83.78758568300131
19,-5.59,-55.68200138375349
20,-19.66,-77.44433580781396
21,-17.58,-105.2222967874425
22,-18.49,-81.28305636568297
23,-60.88,-393.7528882789321
24,-4.81,-90.04075050387578
25,-14.12,-67.87491859265087
26,-4.78,-78.17625661650155
27,-1.23,-51.29347647775586
28,-3.73,-58.507885267976384
29,-56.24,-105.70735685015836
30,-1691.56,-2323.8905387350164
31,-18.6,-87.5749503076567
32,-43.22,-71.95082027087965
33,-4.84,-55.86097663931673
34,-1.54,-52.98908364625317
35,-10.1,-98.30902725197672
36,-2.8,-54.265844891169095
37,-0.61,-49.92649735441084
38,-29.9,-78.79226445096332
39,-14.69,-67.87491859265087
40,-3.54,-54.265844891169095
41,-15.34,-78.590941032805
42,-1740.84,-1722.3507869094751
43,-0.68,-48.48238715391047
44,-5.29,-52.551595714148576
45,-1739.12,-1830.331600929822
46,-3.81,-52.3479233724432
47,-16.97,-105.2222967874425
48,-3.3,-50.884662879987005
49,-51.65,-120.24579967145439
50,-2.86,-51.9787820745042
51,-22.17,-86.63699830570759
52,-9.42,-56.115479811170175
53,-5.17,-70.42890940176554
54,-22.73,-94.8553902551561
55,-2.58,-58.507885267976384
56,-5.57,-68.30801668182863
57,-16.54,-91.72763968562438
58,-5.72,-55.86097663931673
59,-1138.3,-568.4468568793268
60,-59.89,-120.24579967145439
61,-2741.44,-1888.279942234511
62,-24.54,-105.19780992410358
63,-13.61,-116.9706483016731
64,-21.22,-70.66458244650764
65,-10.77,-98.30902725197672
66,-3.78,-63.73883287848555
67,-105.08,-145.31714188276607
68,-57.78,-141.9861952637874
69,-34.83,-94.9155301369332
70,-3048.94,-2842.4432341639517
71,-2.31,-55.86097663931673
72,-85.25,-120.24579967145439
73,-3.79,-71.95082027087965
74,-2.2,-71.52201123282866
75,-3.01,-54.1129945224346
76,-2.46,-56.922601787238
77,-2.39,-58.507885267976384
78,-42.7,-126.236966494752
79,-64.33,-116.36681815450115
80,-139.47,-141.9861952637874
81,-2448.32,-2409.956480373502
82,-1.65,-49.28377066605238
83,-1185.05,-568.4468568793268
84,-1.32,-52.43169757770785
85,-8.08,-67.75787242069686
86,-20.56,-87.12182449640011
87,-2785.54,-1617.7073985715342
88,-0.94,-48.23262425837475
89,-88.82,-90.04075050387578
90,-1.21,-51.29347647775586
91,-1.63,-62.75870765520432
92,-4.29,-68.30801668182863
93,-988.01,-1507.324439653973
94,-61.3,-139.7247162686338
95,-4.09,-52.551595714148576
96,-0.73,-53.60875740453106
97,-4.26,-52.3479233724432
98,-6.41,-65.10899441185938
99,-36.16,-65.50509219935378
100,-49.18,-126.236966494752
101,-3263.52,-2842.4432341639517
102,-240.66,-293.6176061870803
103,-77.62,-124.84526717368522
104,-2757.22,-2807.4880207901433
105,-5.02,-56.45752259879418
106,-2260.74,-1507.324439653973
107,-1788.7,-1888.279942234511
108,-21.52,-86.63699830570759
109,-2084.19,-1722.3507869094751
110,-3.18,-111.06852201379155
111,-6.06,-52.98908364625317
112,-12.93,-78.79226445096332
113,-2.37,-65.77339063183798
114,-21.63,-65.77339063183798
115,-9.45,-91.72763968562438
116,-2.26,-54.1129945224346
117,-2.07,-58.24452544753072
118,-75.22,-169.03078626875848
119,-23.47,-87.12182449640011
120,-82.29,-145.31714188276607
121,-15.72,-81.28305636568297
122,-27.73,-77.44433580781396
123,-74.17,-105.19780992410358
124,-7.5,-67.87491859265087
125,-22.89,-131.56654440109057
126,-79.59,-131.56654440109057
127,-9.38,-61.73780951160963
128,-19.51,-94.8553902551561
129,-3023.27,-2807.4880207901433
130,-15.8,-61.73780951160963
131,-1752.9,-246.901739562641
132,-1.97,-52.43169757770785
133,-1821.88,-1507.324439653973
134,-5.13,-63.73883287848555
135,-31.82,-77.44433580781396
136,-31.44,-121.25101326128544
137,-73.38,-105.70735685015836
138,-1.01,-48.48238715391047
139,-4.6,-65.50509219935378
140,-58.05,-116.9706483016731
141,-1575.97,-159.5988614595289
142,-2936.54,-2323.8905387350164
143,-3.47,-53.22750620296595
144,-47.2,-105.70735685015836
145,-7.34,-55.611262857216474
146,-4.97,-70.42890940176554
147,-1.58,-49.28377066605238
148,-3.91,-70.42890940176554
149,-8.15,-55.68200138375349
150,-50.95,-78.590941032805
151,-1841.16,-1830.331600929822
152,-2965.18,-2842.4432341639517
153,-10.78,-67.31079667047594
154,-6.87,-55.611262857216474
155,-1671.03,-465.5928705488488
156,-9.44,-56.115479811170175
157,-132.92,-169.03078626875848
158,-2420.28,-2807.4880207901433
159,-1.16,-55.12058433715393
160,-5.3,-63.88698599465677
161,-8.82,-67.59274032766939
162,-24.29,-139.7247162686338
163,-13.24,-83.78758568300131
164,-13.09,-111.06852201379155
165,-9.31,-65.10899441185938
166,-28.09,-91.51719208290652
167,-44.74,-126.60853904667124
168,-98.57,-132.29413310916993
169,-2.11,-49.72136107034712
170,-15.66,-82.80678472668298
171,-2.05,-54.1129945224346
172,-0.52,-53.60875740453106
173,-19.64,-105.2222967874425
174,-6.74,-56.45752259879418
175,-4.77,-96.31361857878849
176,-3.97,-71.95082027087965
177,-6.06,-63.88698599465677
178,-3.04,-50.884662879987005
179,-42.8,-111.06852201379155
180,-41.92,-358.65734018574227
181,-38.66,-114.66520533850428
182,-35.91,-116.9706483016731
183,-1.11,-48.48238715391047
184,-82.36,-124.84526717368522
185,-49.41,-87.12182449640011
186,-1906.69,-1617.7073985715342
187,-1.16,-49.28377066605238
188,-1.8,-55.12058433715393
189,-37.03,-94.9155301369332
190,-37.2,-121.25101326128544
191,-8.88,-63.88698599465677
192,-1.33,-48.23262425837475
193,-1713.76,-1722.3507869094751
194,-2.86,-51.9787820745042
195,-8.93,-68.30801668182863
196,-11.78,-55.611262857216474
197,-6.65,-55.68200138375349
198,-2289.87,-2067.8445005664566
199,-33.33,-91.72763968562438
200,-2228.76,-2067.8445005664566
201,-2.7,-54.265844891169095
202,-6.7,-57.74975426594206
203,-47.48,-159.5988614595289
204,-43.06,-82.80678472668298
205,-11.12,-465.5928705488488
206,-1890.34,-393.7528882789321
207,-28.74,-78.79226445096332
208,-47.16,-568.4468568793268
209,-2907.84,-2409.956480373502
210,-88.98,-132.29413310916993
211,-2738.74,-358.65734018574227
212,-47.31,-126.60853904667124
213,-2.56,-55.12058433715393
214,-11.88,-67.59274032766939
215,-1806.3,-1888.279942234511
216,-1011.81,-1617.7073985715342
217,-67.87,-121.25101326128544
218,-1.16,-71.52201123282866
219,-20.06,-246.901739562641
220,-33.18,-132.29413310916993
221,-8.2,-57.74975426594206
222,-17.87,-72.76643564682662
223,-0.5,-63.082904912321965
224,-3235.01,-2313.898928285092
