Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
300043,0.00215425132404,41.1354301927,-292.31243560743303,176.12724526625368,1356.1014998099226,2.7118267678253836,0.1332435897078226,0.1855299260850548,0.024720673349799698
300086,0.0929537798368,41.6807228018,-217.90277650656165,208.58053545777392,1360.6969945706112,3.3990332965403542,0.1577951170789053,0.23254523620381135,0.0366945027729221
300022,-0.122749631011,41.9274349592,-852.6925396666699,509.63605923605246,1437.956669769745,3.4494492713091467,0.3855493105255023,0.2359944506533983,0.09098749773726239
300023,-0.131028213696,41.9189335585,-717.6780556334948,390.5395099930515,1400.182695267748,3.448628761655346,0.29545052019375795,0.23593831539533985,0.06970809801719209
300153,0.144292716085,41.1228657667,-295.5004153769519,175.24365787734385,1355.9870246015903,2.5582334902797785,0.1325751391490182,0.1750218251369074,0.023203542821640628
300243,0.15197278372,40.8773167223,-473.0161525129821,206.2170303730656,1360.33669908502,1.9838883924593083,0.15600708081396994,0.13572794220522053,0.02117452004832368
300040,0.155988967052,42.0066463438,-708.4170853882778,382.5959767334578,1397.98789432322,2.864459368938462,0.28944108715645744,0.19597230224958662,0.05672243621567422
300156,0.164458586753,41.8933299794,-916.399956187729,567.2755205423695,1459.38068627355,4.745045914531482,0.429154652343395,0.32463283725869,0.13931769241300304
300088,0.168800847112,41.9388674072,-848.9931767306368,506.3108887771057,1436.7815377975542,3.980877832330014,0.38303375623025,0.27235219400761435,0.1043200838882863
300012,-0.173455555206,40.9438135929,-282.4230428140634,179.16817596429192,1356.4997996829982,2.844223111851773,0.1355441112520437,0.1945878364990172,0.026375235358717275
300145,0.20188731385,41.6397877024,-833.8493595406939,492.7276396242437,1432.051325236397,4.281028100063476,0.3727577715335777,0.2928870075317297,0.10917590823866574
300087,-0.206099109907,41.8023187669,-903.481997907202,555.5355980252025,1454.8574747839948,4.514609103441842,0.42027317908402334,0.3088674775255459,0.1298087166953243
300152,-0.211163696326,40.9177701687,-266.0404314687572,185.1527584012443,1357.3032141733224,1.57477541588932,0.1400715609694141,0.10773843299171972,0.015091090485548802
300101,0.234624198559,42.1529567829,-161.20092048206328,244.46782497827755,1366.6583291778718,0.04149912323181734,0.1849445298422015,0.0028391670725957732,0.0005250884193846848
